preference_id,user_id,preferred_languages,guide_language,interests,dietary_flags,accessibility_needs,preferred_currency,max_daily_budget,max_daily_budget_currency,pace,updated_at
prf_1df84709,usr_98a69060,"en-IN,mr",mr,"wellness_yoga,beach_active,heritage_fort",vegan,none,INR,18624.61,INR,balanced,2026-08-18T10:00:00+05:30
prf_60cae0aa,usr_4405382c,ar,ar,"nature_desert,wildlife_sanctuary,wellness_yoga,food_fine",vegetarian,step_free,AED,8318.52,AED,packed,2026-08-18T10:00:00+05:30
prf_6e906bfb,usr_acb4c4ba,"te,gu",gu,"heritage_stepwell,adventure_trek,wildlife_sanctuary",halal,,INR,23138.04,INR,balanced,2026-08-18T10:00:00+05:30
prf_67cef300,usr_8452201e,en-IN,en-IN,"religious_ghats,shopping_craft,wildlife_sanctuary",,,INR,2900.90,INR,packed,2026-08-18T10:00:00+05:30
prf_fc9f03db,usr_a0b28bd2,en-IN,en-IN,"beach_quiet,nature_garden,shopping_craft,adventure_air,wellness_ayur",none,,INR,5080.00,INR,packed,2026-08-18T10:00:00+05:30
prf_c67e6b1f,usr_e4980687,"bn,gu",bn,"religious_pilgrim,religious_ghats,adventure_air",vegetarian,,INR,5241.68,INR,packed,2026-08-18T10:00:00+05:30
prf_394ea25a,usr_a93726c0,ml,ml,"shopping_mall,food_street,food_fine,beach_active",none,,INR,5415.14,INR,relaxed,2026-08-18T10:00:00+05:30
prf_59dc049b,usr_5502e88b,en-IN,en-IN,"religious_ghats,nature_hill,museum_history,adventure_cycle,nature_lake",none,,LKR,2957.55,LKR,relaxed,2026-08-18T10:00:00+05:30
prf_5c03d2ca,usr_0551c67a,en-IN,,"religious_ghats,food_street,food_fine",jain,,INR,18999.37,INR,balanced,2026-08-18T10:00:00+05:30
prf_ee48df24,usr_f885e8af,en-IN,en-IN,"wildlife_sanctuary,wildlife_birding,religious_ghats",vegetarian,,INR,8576.24,INR,relaxed,2026-08-18T10:00:00+05:30
prf_a8c0fcdc,usr_7c7b9fd7,"en-IN,bn",,"shopping_mall,adventure_water,nature_waterfall",,hearing,INR,2479.66,INR,balanced,2026-08-18T10:00:00+05:30
prf_4a69f64a,usr_157e58e7,"en-IN,ml",,"nature_garden,religious_pilgrim",vegetarian,hearing,AED,8606.01,AED,packed,2026-08-18T10:00:00+05:30
prf_aef7e0c7,usr_da6b9625,"th,pa",pa,"wellness_ayur,adventure_water,museum_history",,,THB,2169.72,THB,packed,2026-08-18T10:00:00+05:30
prf_bb4a519d,usr_d245dd5d,ne,ne,"religious_ghats,nature_garden,adventure_water,religious_pilgrim",,,INR,11202.38,INR,packed,2026-08-18T10:00:00+05:30
prf_d1801917,usr_b8779399,"ar,mr",mr,"religious_pilgrim,wildlife_sanctuary,food_market,nature_hill",jain,,AED,40032.39,AED,packed,2026-08-18T10:00:00+05:30
prf_b206bb4e,usr_a7b22ee2,"hi,en-IN",en-IN,"food_street,beach_quiet,museum_art,museum_science,wildlife_birding",,,INR,2907.45,INR,packed,2026-08-18T10:00:00+05:30
prf_ef7ff221,usr_52bd2f81,ar,ar,"adventure_air,heritage_temple,food_market",vegan,,MVR,6466.34,MVR,packed,2026-08-18T10:00:00+05:30
prf_bf16241e,usr_65303113,hi,,"wildlife_sanctuary,religious_ghats,shopping_craft,shopping_bazaar,food_cooking",halal,,INR,2784.51,INR,relaxed,2026-08-18T10:00:00+05:30
prf_c4d4265a,usr_bff7bdb8,hi,,"beach_quiet,adventure_trek,nature_desert",,hearing,INR,21455.68,INR,packed,2026-08-18T10:00:00+05:30
prf_05bcc85a,usr_ff46b2fe,"en-IN,hi",en-IN,"wellness_ayur,wildlife_safari",vegetarian,,INR,8700.56,INR,relaxed,2026-08-18T10:00:00+05:30
prf_b8b593c4,usr_1805266d,en-IN,en-IN,"museum_history,food_market,shopping_bazaar,nightlife_bar,adventure_water",,,INR,2335.71,INR,balanced,2026-08-18T10:00:00+05:30
prf_17353375,usr_f427bdf9,"en-IN,ml",,"museum_science,wellness_yoga,food_street",halal,hearing,INR,22209.53,INR,packed,2026-08-18T10:00:00+05:30
prf_473b73a0,usr_50bced56,"en-IN,te",te,"heritage_fort,food_fine,shopping_craft",jain,hearing,JPY,36537.10,JPY,relaxed,2026-08-18T10:00:00+05:30
prf_6cdcfd45,usr_590caf04,"mr,kn",kn,"food_street,religious_pilgrim,beach_quiet,wellness_yoga",,,INR,10708.19,INR,relaxed,2026-08-18T10:00:00+05:30
prf_3616a350,usr_6e6d6fef,"ta,pa",pa,"religious_pilgrim,heritage_stepwell",,,INR,29220.21,INR,relaxed,2026-08-18T10:00:00+05:30
prf_be585e93,usr_6f068e43,en-IN,en-IN,"nightlife_bar,heritage_fort,shopping_bazaar",jain,,INR,2271.03,INR,balanced,2026-08-18T10:00:00+05:30
prf_b88d849d,usr_2e23a5e1,ja,,"heritage_temple,adventure_trek,beach_quiet,nature_lake",,,JPY,44694.97,JPY,packed,2026-08-18T10:00:00+05:30
prf_822d72cc,usr_57a830d8,en-IN,en-IN,"museum_art,heritage_temple",,,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_4573d962,usr_9e6dc4d3,"kn,ml",ml,"museum_history,adventure_trek,nightlife_live,nature_garden,nature_desert",vegan,,INR,6260.45,INR,relaxed,2026-08-18T10:00:00+05:30
prf_087a57f0,usr_87dbc172,"en-IN,te",en-IN,"religious_ghats,nature_desert,religious_pilgrim,wellness_ayur",vegetarian,,INR,8965.48,INR,relaxed,2026-08-18T10:00:00+05:30
prf_fedc90b2,usr_85c09ee4,en-IN,en-IN,"food_market,heritage_temple",,,INR,5009.75,INR,balanced,2026-08-18T10:00:00+05:30
prf_a6b9b359,usr_8add6423,mr,mr,"museum_art,wellness_yoga,shopping_bazaar",,,INR,21446.30,INR,balanced,2026-08-18T10:00:00+05:30
prf_490b95b3,usr_ce11983a,en-IN,en-IN,"adventure_trek,adventure_air",vegetarian,,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_c8ce8399,usr_7e684451,"en-IN,te",te,"museum_art,heritage_stepwell,wildlife_sanctuary",vegan,vision,CHF,30694.73,CHF,relaxed,2026-08-18T10:00:00+05:30
prf_478a8ae7,usr_17b0d3bf,ta,,"shopping_craft,nature_waterfall,food_street,wildlife_sanctuary,nightlife_bar",jain,,INR,15629.75,INR,packed,2026-08-18T10:00:00+05:30
prf_3f7a09a5,usr_a5077371,"or,ml",or,"museum_science,shopping_craft,nature_lake,heritage_fort",,,INR,6228.56,INR,packed,2026-08-18T10:00:00+05:30
prf_b885d058,usr_17083a9e,"en-IN,pa",pa,"nature_waterfall,nature_hill,adventure_water",,,INR,19073.25,INR,balanced,2026-08-18T10:00:00+05:30
prf_2dd46249,usr_50e64c2d,en-IN,,"heritage_fort,museum_history",none,,INR,9262.91,INR,relaxed,2026-08-18T10:00:00+05:30
prf_eb22aa06,usr_2da5bb04,"ja,en-IN",en-IN,"heritage_ruins,nightlife_live,adventure_air",vegetarian,,JPY,2177.69,JPY,packed,2026-08-18T10:00:00+05:30
prf_c817bbee,usr_2162d6ff,en-IN,en-IN,"adventure_water,nature_garden,nightlife_live,beach_quiet",jain,step_free,INR,9118.46,INR,relaxed,2026-08-18T10:00:00+05:30
prf_fa328483,usr_9059c966,"en-IN,kn",en-IN,"nature_hill,religious_pilgrim",halal,vision,BTN,2936.68,BTN,relaxed,2026-08-18T10:00:00+05:30
prf_d75079e2,usr_efe9a3aa,en-IN,,"heritage_ruins,food_fine,nightlife_live",,none,INR,4664.87,INR,balanced,2026-08-18T10:00:00+05:30
prf_a8fb0341,usr_5b361073,ar,ar,"nature_desert,wellness_ayur,wildlife_safari,nature_hill,wildlife_sanctuary",vegan,vision,QAR,4021.95,QAR,relaxed,2026-08-18T10:00:00+05:30
prf_9d8778c3,usr_106130ad,"en-IN,gu",gu,"nature_hill,shopping_mall",halal,,INR,31822.41,INR,relaxed,2026-08-18T10:00:00+05:30
prf_6869be0c,usr_0ecee4ac,"ml,ta",ta,"heritage_ruins,religious_pilgrim",,,INR,22358.54,INR,relaxed,2026-08-18T10:00:00+05:30
prf_e27eb68e,usr_3ccdc15e,"ml,kn",,"nightlife_bar,wildlife_birding",none,step_free,INR,,,relaxed,2026-08-18T10:00:00+05:30
prf_a4a73ffd,usr_0813b333,"en-IN,ta",ta,"food_fine,adventure_air,shopping_craft,adventure_water,wildlife_birding",,,INR,5373.27,INR,packed,2026-08-18T10:00:00+05:30
prf_011f83ac,usr_6623af50,ar,ar,"shopping_bazaar,museum_science,adventure_trek,adventure_water,wildlife_birding",vegan,,AED,34136.76,AED,balanced,2026-08-18T10:00:00+05:30
prf_05b37c8f,usr_eba38ad5,gu,gu,"nightlife_bar,nature_hill,adventure_water,museum_history,museum_science",,,INR,23182.37,INR,balanced,2026-08-18T10:00:00+05:30
prf_b5be00ad,usr_db37359e,en-IN,en-IN,"nightlife_bar,shopping_bazaar",vegetarian,,INR,23106.82,INR,balanced,2026-08-18T10:00:00+05:30
prf_fb9c9869,usr_4f7fc3a8,ne,,"beach_active,religious_pilgrim,heritage_temple,museum_science",vegan,,INR,2933.65,INR,relaxed,2026-08-18T10:00:00+05:30
prf_48cbc3fe,usr_0a31df91,en-IN,en-IN,"wildlife_sanctuary,food_market,museum_history,nature_hill",halal,,INR,15669.71,INR,balanced,2026-08-18T10:00:00+05:30
prf_a4eae757,usr_1ef037a0,kn,kn,"wildlife_birding,nature_garden,nightlife_bar,adventure_cycle",none,,INR,44806.44,INR,packed,2026-08-18T10:00:00+05:30
prf_c1513f54,usr_2fca7c46,"en-IN,bn",en-IN,"museum_science,nature_hill,heritage_stepwell,wildlife_sanctuary,nature_garden",vegan,,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_d26547f7,usr_a2dd8823,"en-IN,gu",,"shopping_craft,wellness_yoga,nature_lake,wildlife_safari,religious_ghats",vegan,,INR,16228.28,INR,packed,2026-08-18T10:00:00+05:30
prf_5e7225ae,usr_b9d5e7c6,en-IN,en-IN,"nature_garden,nightlife_bar,museum_history,food_cooking,heritage_stepwell",,,AED,6310.97,AED,balanced,2026-08-18T10:00:00+05:30
prf_cd6b2730,usr_36284ca0,en-IN,en-IN,"nature_garden,museum_art",halal,hearing,INR,22675.86,INR,packed,2026-08-18T10:00:00+05:30
prf_29481224,usr_a9df5974,"ta,en-IN",ta,"adventure_trek,adventure_cycle,museum_science",vegan,,INR,16844.30,INR,packed,2026-08-18T10:00:00+05:30
prf_e0dbd710,usr_4b9412c5,"en-IN,mr",,"heritage_stepwell,nature_garden,wellness_yoga,adventure_air",halal,,INR,17960.59,INR,balanced,2026-08-18T10:00:00+05:30
prf_40c96504,usr_2d4d90ee,"en-IN,ml",ml,"beach_quiet,heritage_stepwell,nightlife_live",halal,,INR,29243.54,INR,relaxed,2026-08-18T10:00:00+05:30
prf_913479b5,usr_1f8bfcb7,"en-IN,te",te,"beach_quiet,wellness_ayur,wellness_yoga,food_cooking",vegetarian,,INR,2253.17,INR,balanced,2026-08-18T10:00:00+05:30
prf_c14abc2e,usr_454b4262,en-IN,,"heritage_temple,heritage_stepwell",jain,step_free,INR,2986.00,INR,balanced,2026-08-18T10:00:00+05:30
prf_15de2a6a,usr_5c38267a,en-IN,en-IN,"shopping_mall,heritage_fort,food_street",vegan,,INR,6393.38,INR,packed,2026-08-18T10:00:00+05:30
prf_950182fe,usr_02b3a36d,hi,hi,"heritage_fort,nature_hill,wellness_ayur,adventure_cycle",jain,,INR,2990.99,INR,balanced,2026-08-18T10:00:00+05:30
prf_e2b0cc54,usr_2a2841d1,"bn,hi",,"nightlife_live,food_cooking,beach_quiet,shopping_bazaar,nature_desert",jain,,INR,4422.39,INR,balanced,2026-08-18T10:00:00+05:30
prf_4b074d74,usr_5bbebfef,"en-IN,kn",,"nature_lake,museum_art,beach_quiet",,,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_bae7f4da,usr_c535ee88,"en-IN,gu",,"nightlife_bar,food_fine",,,THB,16720.03,THB,relaxed,2026-08-18T10:00:00+05:30
prf_ef0dcd61,usr_d56927f7,"en-IN,mr",mr,"food_market,nightlife_live,museum_art,heritage_fort",vegan,vision,INR,8386.86,INR,packed,2026-08-18T10:00:00+05:30
prf_5091bdf5,usr_3dd2a515,ne,ne,"nightlife_bar,heritage_fort",jain,,INR,2616.38,INR,relaxed,2026-08-18T10:00:00+05:30
prf_807623e9,usr_f5ceb136,mr,mr,"nightlife_bar,beach_quiet,adventure_cycle",vegan,hearing,INR,22085.63,INR,packed,2026-08-18T10:00:00+05:30
prf_ec5191fb,usr_1e3c81bb,"en-IN,pa",en-IN,"food_market,food_street,nature_garden,nature_desert,shopping_bazaar",,vision,INR,21454.25,INR,balanced,2026-08-18T10:00:00+05:30
prf_80062329,usr_8479a3e5,en-IN,en-IN,"nature_desert,beach_active",none,,INR,2700.08,INR,packed,2026-08-18T10:00:00+05:30
prf_8b1cf7e8,usr_fa7951d2,"en-IN,te",te,"nature_garden,nightlife_bar",jain,,INR,5060.67,INR,packed,2026-08-18T10:00:00+05:30
prf_d15b9d37,usr_77cc5104,"te,bn",te,"wildlife_birding,nightlife_bar,adventure_trek,wellness_ayur",,,INR,37379.89,INR,relaxed,2026-08-18T10:00:00+05:30
prf_c026d80a,usr_3d2f73ea,"en-IN,ml",en-IN,"food_fine,shopping_bazaar,nightlife_bar",jain,,INR,19724.45,INR,balanced,2026-08-18T10:00:00+05:30
prf_fb63079b,usr_5de9da21,en-IN,,"shopping_craft,nature_desert,heritage_ruins,nature_hill,nature_waterfall",jain,,LKR,14901.07,LKR,packed,2026-08-18T10:00:00+05:30
prf_ca8168a5,usr_7b318031,"as,en-IN",en-IN,"shopping_craft,nightlife_live",,,INR,16649.63,INR,relaxed,2026-08-18T10:00:00+05:30
prf_7995c3b9,usr_66a4a013,hi,hi,"museum_science,adventure_water,nightlife_live,heritage_temple",halal,,INR,,,packed,2026-08-18T10:00:00+05:30
prf_b8b230c6,usr_ec11ff6d,hi,hi,"heritage_fort,wildlife_safari",,,INR,,,packed,2026-08-18T10:00:00+05:30
prf_520f5e6d,usr_19ff47f6,en-IN,,"nature_garden,heritage_temple,food_street,nightlife_live,food_cooking",,vision,INR,9658.67,INR,packed,2026-08-18T10:00:00+05:30
prf_724fbcec,usr_bcc2d077,"en-IN,hi",hi,"wildlife_sanctuary,adventure_trek,food_market,heritage_temple",halal,,INR,3097.47,INR,packed,2026-08-18T10:00:00+05:30
prf_42973a35,usr_2bd5e70b,si,,"wildlife_sanctuary,beach_active,nature_garden,nature_lake,wellness_yoga",vegan,,LKR,23077.24,LKR,packed,2026-08-18T10:00:00+05:30
prf_8fbd834c,usr_cea18c83,si,si,"religious_ghats,heritage_temple,nature_lake",vegetarian,,LKR,10064.95,LKR,packed,2026-08-18T10:00:00+05:30
prf_d269cf4f,usr_3771666b,"en-IN,ta",en-IN,"heritage_fort,museum_science,museum_art,museum_history",vegan,,INR,10004.64,INR,packed,2026-08-18T10:00:00+05:30
prf_2c0cc6a0,usr_2366517c,"zh,mr",,"nature_hill,wildlife_safari",jain,vision,SGD,7477.95,SGD,relaxed,2026-08-18T10:00:00+05:30
prf_dc85d286,usr_3f50fbcb,"en-IN,te",,"museum_history,beach_active,shopping_mall,beach_quiet,heritage_ruins",,hearing,INR,2800.42,INR,balanced,2026-08-18T10:00:00+05:30
prf_d48e4900,usr_4bf78f59,hi,hi,"food_street,museum_history,heritage_fort,adventure_trek",halal,none,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_180190a9,usr_38ed48e6,en-IN,en-IN,"beach_active,adventure_trek",,,INR,9345.99,INR,balanced,2026-08-18T10:00:00+05:30
prf_81486cd6,usr_f48b4353,ar,ar,"food_market,nature_desert,adventure_cycle,adventure_trek,nightlife_bar",vegetarian,hearing,AED,4259.95,AED,packed,2026-08-18T10:00:00+05:30
prf_c6268615,usr_f3138597,"ml,pa",,"beach_quiet,adventure_trek",vegetarian,,INR,15101.17,INR,balanced,2026-08-18T10:00:00+05:30
prf_d8dd1708,usr_dabbaf95,"hi,pa",hi,"heritage_stepwell,nature_lake,heritage_temple",vegan,step_free,INR,5731.18,INR,packed,2026-08-18T10:00:00+05:30
prf_aab96d3a,usr_4d8f3b3a,pa,pa,"nature_garden,wildlife_birding,wellness_yoga",jain,hearing,INR,2640.54,INR,relaxed,2026-08-18T10:00:00+05:30
prf_e27bf1d5,usr_b357f73c,"te,kn",kn,"shopping_craft,food_fine,food_market,nightlife_live",vegan,none,INR,19541.54,INR,packed,2026-08-18T10:00:00+05:30
prf_a77aff7f,usr_9afd8eab,hi,,"adventure_air,food_cooking",,,INR,4874.96,INR,relaxed,2026-08-18T10:00:00+05:30
prf_ae375696,usr_8d55da4d,te,te,"shopping_bazaar,adventure_air,museum_art",halal,,INR,2205.59,INR,packed,2026-08-18T10:00:00+05:30
prf_ed0a1a0f,usr_3b2b4279,mr,mr,"nightlife_bar,religious_pilgrim,wildlife_safari,wildlife_birding,nature_lake",none,,INR,,,relaxed,2026-08-18T10:00:00+05:30
prf_15591783,usr_afaebefa,en-IN,,"museum_history,heritage_temple,adventure_cycle",jain,,INR,18501.72,INR,relaxed,2026-08-18T10:00:00+05:30
prf_43b4520f,usr_3495d8ed,ms,ms,"nature_garden,adventure_cycle,museum_art,religious_pilgrim",,,MYR,21379.15,MYR,packed,2026-08-18T10:00:00+05:30
prf_052078d1,usr_520d9624,en-IN,,"adventure_water,museum_art,wildlife_sanctuary,heritage_fort,food_street",,none,INR,15133.58,INR,balanced,2026-08-18T10:00:00+05:30
prf_3663f8b7,usr_dcc95fd2,"mr,hi",,"food_market,wellness_ayur",,step_free,INR,9791.74,INR,balanced,2026-08-18T10:00:00+05:30
prf_fe61da16,usr_c659e4bf,"id,ml",,"wildlife_birding,adventure_water,nightlife_bar,nightlife_live,heritage_fort",,,IDR,18093.89,IDR,balanced,2026-08-18T10:00:00+05:30
prf_afbf8fe5,usr_1f590ce8,"en-IN,ta",ta,"shopping_mall,museum_science",vegetarian,vision,INR,,,balanced,2026-08-18T10:00:00+05:30
prf_bf5ce336,usr_f353d290,en-IN,en-IN,"wellness_ayur,beach_quiet,heritage_stepwell,shopping_bazaar,food_fine",,hearing,INR,2072.02,INR,packed,2026-08-18T10:00:00+05:30
prf_b6b4e3be,usr_fe54affe,en-IN,en-IN,"nature_desert,nature_hill,shopping_bazaar",halal,,JPY,18573.72,JPY,relaxed,2026-08-18T10:00:00+05:30
prf_ad2dbac7,usr_065fbc7f,"en-IN,ml",,"heritage_temple,wellness_ayur",,none,INR,31951.24,INR,packed,2026-08-18T10:00:00+05:30
prf_08c723ab,usr_18a2e06d,"hi,ta",ta,"adventure_air,wildlife_birding",jain,,INR,38929.46,INR,balanced,2026-08-18T10:00:00+05:30
prf_0c16bd54,usr_282f5188,ne,,"museum_art,adventure_water,food_market,shopping_craft",,,NPR,10830.77,NPR,balanced,2026-08-18T10:00:00+05:30
prf_04cb17d5,usr_04abf061,"en-IN,te",te,"nature_desert,beach_quiet",jain,,IDR,18083.45,IDR,packed,2026-08-18T10:00:00+05:30
prf_2b605c44,usr_1886c078,"en-IN,kn",kn,"adventure_water,shopping_mall,food_market,nature_desert",,,MVR,6081.98,MVR,balanced,2026-08-18T10:00:00+05:30
prf_41dae1eb,usr_40c95b13,en-IN,en-IN,"nightlife_live,nature_lake,adventure_air",halal,,INR,,,relaxed,2026-08-18T10:00:00+05:30
prf_94c8864b,usr_5f81e7d1,ta,,"food_cooking,beach_active,heritage_stepwell",,,INR,36697.53,INR,relaxed,2026-08-18T10:00:00+05:30
prf_49882aa7,usr_3438d3c4,en-IN,en-IN,"beach_active,heritage_temple",vegan,,AED,33083.13,AED,balanced,2026-08-18T10:00:00+05:30
prf_c895abcd,usr_7cb81b2c,en-IN,,"nature_desert,shopping_mall,adventure_air,food_market,heritage_fort",halal,,IDR,5911.65,IDR,packed,2026-08-18T10:00:00+05:30
prf_9f67a4fd,usr_80bfee13,en-IN,,"beach_quiet,heritage_temple,nightlife_live,beach_active",,,INR,7396.74,INR,balanced,2026-08-18T10:00:00+05:30
prf_532387cb,usr_b8c5bfe0,"mr,ta",mr,"heritage_stepwell,wildlife_birding,shopping_craft",halal,hearing,INR,21592.02,INR,balanced,2026-08-18T10:00:00+05:30
prf_dbd3f86e,usr_cb0928ac,en-IN,en-IN,"beach_quiet,religious_pilgrim,wellness_ayur,nightlife_bar",halal,none,INR,8630.41,INR,balanced,2026-08-18T10:00:00+05:30
prf_da3b5a01,usr_322fb6cb,mr,mr,"wildlife_sanctuary,food_cooking,wildlife_birding,shopping_craft",,hearing,INR,2791.80,INR,balanced,2026-08-18T10:00:00+05:30
prf_bc7c9393,usr_805d11a5,ml,ml,"beach_quiet,shopping_mall,wildlife_safari,museum_science",vegan,,INR,22852.39,INR,packed,2026-08-18T10:00:00+05:30
prf_753c7389,usr_b96ef58c,"bn,gu",gu,"food_market,beach_active,heritage_ruins",none,step_free,INR,4893.96,INR,relaxed,2026-08-18T10:00:00+05:30
prf_b530489d,usr_3c70603f,"ta,pa",ta,"heritage_stepwell,beach_quiet,heritage_temple",,,INR,43734.11,INR,relaxed,2026-08-18T10:00:00+05:30
prf_fb332fae,usr_f9060fbb,"hi,bn",,"wildlife_safari,shopping_bazaar,food_cooking",none,,INR,7600.08,INR,relaxed,2026-08-18T10:00:00+05:30
prf_c62cb5f0,usr_05a65b61,en-IN,en-IN,"nature_waterfall,adventure_air,wildlife_sanctuary,nightlife_live,shopping_craft",jain,,INR,,,packed,2026-08-18T10:00:00+05:30
prf_04aaea18,usr_e9f75997,en-IN,en-IN,"nature_desert,religious_ghats,adventure_air,wildlife_birding,wildlife_safari",vegan,,MVR,20865.45,MVR,packed,2026-08-18T10:00:00+05:30
prf_2507e7f6,usr_6361ffdd,en-IN,,"food_fine,food_street,museum_history,religious_pilgrim",,,AED,2857.34,AED,balanced,2026-08-18T10:00:00+05:30
prf_3a8a5ee1,usr_6653b49e,"ml,mr",mr,"nature_desert,adventure_cycle,wellness_yoga",,,INR,18824.74,INR,relaxed,2026-08-18T10:00:00+05:30
prf_a70542d5,usr_7edfea3c,"hi,ta",ta,"shopping_mall,religious_pilgrim,shopping_bazaar,wildlife_safari,food_market",none,,INR,5913.30,INR,packed,2026-08-18T10:00:00+05:30
prf_a62139b9,usr_7101a5b5,en-IN,en-IN,"beach_active,adventure_air",,,INR,11346.61,INR,packed,2026-08-18T10:00:00+05:30
prf_e3e24b9f,usr_fd729274,ml,,"museum_art,wellness_yoga,shopping_mall,religious_pilgrim,wildlife_sanctuary",,,INR,3124.63,INR,relaxed,2026-08-18T10:00:00+05:30
prf_505a887f,usr_48f9bd76,"en-IN,kn",kn,"food_cooking,food_street,museum_science,wildlife_sanctuary",,,INR,,,packed,2026-08-18T10:00:00+05:30
prf_1443959a,usr_546ab7b6,mr,,"nature_lake,beach_active,wildlife_birding,nightlife_live",none,step_free,INR,2923.05,INR,packed,2026-08-18T10:00:00+05:30
prf_f3707237,usr_57995796,ml,ml,"shopping_craft,museum_science,nightlife_live,heritage_stepwell,museum_history",none,vision,INR,7367.24,INR,balanced,2026-08-18T10:00:00+05:30
prf_a25db78e,usr_f95d5d19,hi,hi,"heritage_fort,nature_waterfall,wildlife_birding,wellness_ayur",halal,,INR,6039.84,INR,relaxed,2026-08-18T10:00:00+05:30
prf_eefe4e4a,usr_4dc8096b,en-IN,en-IN,"nightlife_bar,nature_lake,food_street,nature_waterfall",vegan,,INR,9781.39,INR,packed,2026-08-18T10:00:00+05:30
prf_44f1468d,usr_f5fd9c87,"en-IN,gu",en-IN,"food_market,food_cooking,shopping_mall",vegan,,INR,,,relaxed,2026-08-18T10:00:00+05:30
prf_fba7a298,usr_beb7e910,or,or,"heritage_ruins,nature_waterfall,museum_art,beach_quiet,wildlife_sanctuary",,none,INR,3046.53,INR,balanced,2026-08-18T10:00:00+05:30
prf_85a60f1b,usr_5b790166,en-IN,en-IN,"nature_garden,beach_active,wildlife_sanctuary",vegetarian,,INR,18228.29,INR,relaxed,2026-08-18T10:00:00+05:30
