booking_id,user_id,trip_id,itinerary_id,booking_reference,channel,total_amount,currency,tax_amount,idempotency_key,status,confirmed_at,cancelled_at,cancellation_reason,created_at,updated_at
bkg_dc805bb2,usr_8700ba48,trp_2a380c8a,,904A74,web,38534.20,INR,4128.66,idem_2678283fa27e38a5,cancelled,,2026-07-23T03:30:00+05:30,Found a better rate,2026-07-13T03:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_c6ccdb15,usr_c8025f92,trp_2974df6f,,21E2B3,web,11754.04,INR,1259.36,idem_73657b07c3cb32aa,confirmed,2026-06-07T06:02:00+05:30,,,2026-06-07T06:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_55382b3e,usr_ab49979e,,,0A1DF2,agent,51279.88,INR,5494.27,idem_cb551f6ff443d28b,confirmed,2026-08-08T13:17:00+05:30,,,2026-08-08T13:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_a18c8fb4,usr_6e6d6fef,,,1A4C81,mobile_app,17204.51,INR,1843.34,idem_048a078c35ac54db,confirmed,2026-05-26T22:32:00+05:30,,,2026-05-26T22:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_5ff05c45,usr_b5327682,,,DE7B9B,mobile_app,43025.07,INR,4609.83,idem_c28982156c358405,confirmed,2026-05-04T07:32:00+05:30,,,2026-05-04T07:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_8cdd25c2,usr_8e272905,trp_72f16fa8,,ED46F5,web,4118.39,INR,441.26,idem_ea50ce7397923592,confirmed,2026-07-17T00:32:00+05:30,,,2026-07-17T00:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_eca7b339,usr_638c6951,,,640363,web,6875.87,LKR,736.70,idem_f1c99bae73f9d995,confirmed,2026-04-29T20:47:00+05:30,,,2026-04-29T20:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_1054fe18,usr_e94f06ca,,,F0E04B,mobile_app,23392.05,INR,2506.29,idem_35d520bc4b012588,confirmed,2026-07-23T09:02:00+05:30,,,2026-07-23T09:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_5c5d46a1,usr_ee57ec9a,trp_9f0e2c12,,590197,web,12083.37,INR,1294.65,idem_64a75277fa6222cb,confirmed,2026-05-07T09:32:00+05:30,,,2026-05-07T09:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_36d7e53b,usr_1b4fe68e,,,21118B,web,7872.75,THB,843.51,idem_89abca82c829dbfb,confirmed,2026-06-21T06:32:00+05:30,,,2026-06-21T06:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_cfe06f0c,usr_a370271a,trp_25e25e9c,,A447B9,mobile_app,19726.63,INR,2113.57,idem_ff1bbbc0144fb1cb,confirmed,2026-07-18T03:17:00+05:30,,,2026-07-18T03:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_b1a64665,usr_2b11a6c9,trp_7844b321,,52D4CC,web,5258.49,INR,563.41,idem_ad0389e5b0ef008b,confirmed,2026-07-29T06:32:00+05:30,,,2026-07-29T06:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_79906986,usr_6479c45c,trp_bd664180,,864725,mobile_app,13500.73,LKR,1446.51,idem_e62049d7e1e248d9,cancelled,,2026-08-13T21:45:00+05:30,Plans changed,2026-07-28T21:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_ef9ddd65,usr_8e56e75b,,,4529A8,mobile_app,8683.49,NPR,930.37,idem_c40e11aa7cb87813,confirmed,2026-06-05T06:02:00+05:30,,,2026-06-05T06:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_33a70806,usr_f60ade8b,trp_87c1afde,,8C8495,mobile_app,38142.19,INR,4086.66,idem_0b091bc3a2e65783,confirmed,2026-08-04T06:32:00+05:30,,,2026-08-04T06:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_033bcbd8,usr_3349b18a,trp_8a12a715,,613DFE,mobile_app,6695.24,INR,717.35,idem_8d937dabd69a51cd,refunded,,2026-08-08T01:45:00+05:30,Plans changed,2026-08-05T01:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_69352816,usr_4787696f,trp_6ff162fb,,7CF11B,mobile_app,71541.90,INR,7665.20,idem_261c07efd6f92a1f,confirmed,2026-07-27T15:17:00+05:30,,,2026-07-27T15:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_74e7879c,usr_2b7e8931,trp_95ffc5b8,,ECCC8F,agent,101492.41,INR,10874.19,idem_166f39541c65bc3c,cancelled,,2026-04-22T07:30:00+05:30,Plans changed,2026-04-21T07:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_9f599abe,usr_520d9624,trp_4950beba,,72A8A4,web,39793.96,INR,4263.64,idem_bf3c6a95511b5652,confirmed,2026-08-04T17:47:00+05:30,,,2026-08-04T17:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_32a4fde3,usr_fae4d064,trp_f74bdeb1,,A07F3A,mobile_app,20459.22,INR,2192.06,idem_85d8c74774a836b9,confirmed,2026-05-01T23:32:00+05:30,,,2026-05-01T23:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_f54f09b4,usr_22d1a7e5,trp_8e6dec68,,5DA659,web,3097.40,INR,331.86,idem_563a946d0ab21c6b,confirmed,2026-06-14T20:17:00+05:30,,,2026-06-14T20:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_d95cafa1,usr_0b8f3bdc,trp_0e4afde6,,850858,mobile_app,5285.47,INR,566.30,idem_220778966a1f58ea,failed,,,,2026-05-09T18:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_a78e7575,usr_78afc45f,,,E9C474,mobile_app,34220.97,INR,3666.53,idem_bb424ec855026cea,confirmed,2026-05-06T08:17:00+05:30,,,2026-05-06T08:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_9a4e2f03,usr_b5327682,trp_dba33c33,,75619F,web,7192.45,NPR,770.62,idem_d8411be9b19b88a1,confirmed,2026-06-13T01:02:00+05:30,,,2026-06-13T01:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_e7f411ce,usr_04b21637,,,E5885D,call_centre,40194.74,INR,4306.58,idem_05dd911f41d28fe7,confirmed,2026-05-31T21:17:00+05:30,,,2026-05-31T21:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_38f6ddb0,usr_18b5561e,trp_d04f7574,,71BA74,web,4282.70,INR,458.86,idem_642cb22b1423cf4c,confirmed,2026-05-29T04:32:00+05:30,,,2026-05-29T04:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_72f39a04,usr_1239733b,trp_a090d1f1,,F850C6,web,54147.74,INR,5801.54,idem_147137930c4cb566,confirmed,2026-06-09T11:17:00+05:30,,,2026-06-09T11:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_74b0ac92,usr_18260fc4,,,3DE9D8,web,5118.20,AED,548.38,idem_ab4b0ba067accc97,confirmed,2026-06-12T13:32:00+05:30,,,2026-06-12T13:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_d375060a,usr_36c3dbed,trp_9818ae06,,CCD3DC,mobile_app,12274.04,INR,1315.08,idem_b63f86bd7a90a2b0,failed,,,,2026-07-07T03:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_d5364266,usr_209a82fa,trp_16836146,,037BD7,web,50429.19,INR,5403.13,idem_3d9439e3625e855b,confirmed,2026-05-12T11:02:00+05:30,,,2026-05-12T11:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_5e2c122d,usr_638c6951,trp_de13fbb8,,78930F,web,1768.51,INR,189.48,idem_15201ecac0a0faf7,pending,,,,2026-06-14T02:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_6768c9be,usr_dc1bd238,trp_0c58e20b,,DEF452,web,16419.17,INR,1759.20,idem_dee15dc8f984aa74,confirmed,2026-08-10T11:17:00+05:30,,,2026-08-10T11:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_c3255c1a,usr_96b84c82,trp_c4fe9d44,,96A5B4,web,8494.34,THB,910.11,idem_b43bbb7f85c52e65,confirmed,2026-05-07T01:17:00+05:30,,,2026-05-07T01:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_4430bdeb,usr_0000ca76,trp_baeb9644,,077169,web,61475.67,INR,6586.68,idem_4e8a36cdaf91f796,cancelled,,2026-07-08T07:00:00+05:30,Plans changed,2026-06-21T07:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_822f073e,usr_d1506bce,trp_41efeeee,,BAF1E0,agent,4945.36,INR,529.86,idem_6d012bbf78f5ed53,confirmed,2026-08-03T18:02:00+05:30,,,2026-08-03T18:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_a43422ce,usr_e1d938d9,,,339A8D,mobile_app,10419.07,INR,1116.33,idem_9a6902b9c0c7b8d1,confirmed,2026-07-25T17:17:00+05:30,,,2026-07-25T17:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_e43d4db6,usr_1c8154b9,trp_fc58b9bd,,BE97AC,mobile_app,4955.31,INR,530.93,idem_2a44e4c6ca7118d7,confirmed,2026-04-26T11:02:00+05:30,,,2026-04-26T11:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_b0e47d8d,usr_16017e92,trp_37519e08,,D3F1BE,web,9211.24,INR,986.92,idem_2c0247d589ece91e,partially_confirmed,2026-07-20T00:17:00+05:30,,,2026-07-20T00:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_1aa0453c,usr_c4dc3602,trp_f45d3ef9,,724D8F,web,17932.45,INR,1921.33,idem_29713372c81ed105,confirmed,2026-05-23T00:47:00+05:30,,,2026-05-23T00:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_0904c0f9,usr_2109396c,trp_924dd4a3,,83EA7B,agent,23165.77,INR,2482.05,idem_679b70e363edd012,pending,,,,2026-06-07T11:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_de021a6c,usr_3d56531d,trp_e11af79e,,00347B,mobile_app,12620.94,SGD,1352.24,idem_7eb219687262bed6,pending,,,,2026-06-10T08:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_c0ba09a6,usr_ae648c19,trp_ef522093,,1AFD57,mobile_app,47013.15,INR,5037.12,idem_7958873caf9fbdec,confirmed,2026-06-21T07:47:00+05:30,,,2026-06-21T07:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_53e04170,usr_20594684,,,FC89BD,partner,13684.25,INR,1466.17,idem_e9ec0da5614073f9,confirmed,2026-07-18T08:32:00+05:30,,,2026-07-18T08:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_6a3091ad,usr_e94f06ca,trp_4567900f,,1D9EA2,partner,39033.97,INR,4182.21,idem_2f67c9c20acc7916,confirmed,2026-08-05T21:02:00+05:30,,,2026-08-05T21:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_ac83cdcf,usr_72d88a70,trp_357dbb6b,,938822,mobile_app,164.75,SGD,17.65,idem_af651144fe8b4d92,confirmed,2026-07-31T23:02:00+05:30,,,2026-07-31T23:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_63f2cba8,usr_ab49979e,trp_c31653d2,,8E33E8,web,16257.54,NPR,1741.88,idem_d81c9237d68112fd,confirmed,2026-06-12T06:17:00+05:30,,,2026-06-12T06:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_14737abe,usr_96b84c82,trp_c4fe9d44,,E9467E,web,56123.11,INR,6013.19,idem_df9b7459eab0a07d,confirmed,2026-08-02T19:02:00+05:30,,,2026-08-02T19:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_daa3681e,usr_afacd025,trp_2e23ea17,,2324E9,mobile_app,55172.75,INR,5911.37,idem_7c3c179fcffa67bb,confirmed,2026-04-22T15:17:00+05:30,,,2026-04-22T15:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_43c55db6,usr_2b11a6c9,trp_7844b321,,F7855E,mobile_app,4806.12,QAR,514.94,idem_4fcc5cc27da8b7f0,confirmed,2026-05-24T06:47:00+05:30,,,2026-05-24T06:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_1cc9cf40,usr_c8025f92,trp_2974df6f,,737742,partner,8503.14,INR,911.05,idem_86b960ff2026699d,confirmed,2026-04-29T12:47:00+05:30,,,2026-04-29T12:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_71ef6221,usr_7ad82b11,trp_f9bdd86b,,7EB00D,partner,17226.56,MYR,1845.70,idem_5826478dc1bfccea,confirmed,2026-07-13T02:02:00+05:30,,,2026-07-13T02:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_0c57db7d,usr_ca6dc019,trp_3eae7fcb,,FCFDF9,web,43205.64,INR,4629.18,idem_08bcec96ea8c207c,confirmed,2026-06-29T11:47:00+05:30,,,2026-06-29T11:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_77671ccb,usr_f60ade8b,trp_87c1afde,,1CFABF,mobile_app,24513.61,INR,2626.46,idem_0c2a2ead42c0ddef,pending,,,,2026-08-03T19:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_b42c0e25,usr_65303113,trp_39d6963e,,71221D,mobile_app,29332.86,INR,3142.81,idem_eafc2c7ff2d7a7bc,confirmed,2026-05-20T02:47:00+05:30,,,2026-05-20T02:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_bb4d218e,usr_e2490a9e,,,D5AB62,web,38284.87,THB,4101.95,idem_56817407c8c370c3,pending,,,,2026-07-08T07:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_9f3522b1,usr_aaf1c470,trp_2472305e,,A9FCFA,call_centre,8656.97,INR,927.53,idem_6a88caa99b411745,refunded,,2026-05-19T21:15:00+05:30,Plans changed,2026-05-11T21:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_7aa89001,usr_b86dd891,trp_cfff63af,,A734DC,mobile_app,5346.81,AED,572.87,idem_4b946326f3b03073,pending,,,,2026-07-09T20:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_c8985dd7,usr_d3acd59c,trp_67af61b6,,9DC4BB,mobile_app,9888.68,INR,1059.50,idem_9ec44c071e8f95b9,cancelled,,2026-06-09T07:45:00+05:30,Duplicate booking,2026-05-26T07:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_b35e9276,usr_546ab7b6,trp_3178fc73,,DDD24E,web,22797.40,IDR,2442.58,idem_640ac27c80482c57,partially_confirmed,2026-05-25T05:02:00+05:30,,,2026-05-25T05:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_4ccbe790,usr_1a6892bf,trp_2b1c9a53,,8EFF48,web,3011.87,INR,322.70,idem_fdf6d5b4ead0daa7,confirmed,2026-08-03T13:02:00+05:30,,,2026-08-03T13:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_bc0f89d2,usr_1c8154b9,,,18A9EA,mobile_app,27077.85,CHF,2901.20,idem_ee72e42ad9918708,confirmed,2026-08-01T03:32:00+05:30,,,2026-08-01T03:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_cdc794e7,usr_228f37bd,,,E1AE44,web,105296.64,INR,11281.78,idem_e3b9e259169a7a2c,confirmed,2026-07-05T20:47:00+05:30,,,2026-07-05T20:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_ee4b7533,usr_fa7951d2,trp_9158f558,,A7536C,partner,67395.08,INR,7220.90,idem_bc1c9f169fb264d2,confirmed,2026-07-10T21:32:00+05:30,,,2026-07-10T21:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_a148cb3d,usr_34f98272,trp_37763b22,,7302E8,mobile_app,11357.10,INR,1216.83,idem_48fcc9d94ada7a68,confirmed,2026-07-20T11:47:00+05:30,,,2026-07-20T11:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_6ce37e53,usr_24f139e5,trp_07ee6d2b,,32D28A,web,35187.08,INR,3770.04,idem_4880b46adafc6547,refunded,,2026-05-31T00:00:00+05:30,Trip postponed,2026-05-28T00:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_24af62b9,usr_0389057b,trp_03ebe095,,0BEF26,web,15590.10,INR,1670.37,idem_b5cd0dae228d68cd,confirmed,2026-06-26T18:32:00+05:30,,,2026-06-26T18:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_aa45da37,usr_5f1e6e1c,trp_7945b3eb,,FF41BB,web,46112.17,INR,4940.59,idem_eb65e67f1c0f1567,confirmed,2026-06-15T11:17:00+05:30,,,2026-06-15T11:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_be7a1bd2,usr_7a9bb1ad,trp_77b09e9a,,028487,web,30350.05,INR,3251.79,idem_7409e32029c8456a,confirmed,2026-07-26T23:47:00+05:30,,,2026-07-26T23:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_9340b70b,usr_8e272905,trp_0512bf41,,99B333,call_centre,32459.48,INR,3477.80,idem_3fde7c66bcd738cb,confirmed,2026-05-29T22:32:00+05:30,,,2026-05-29T22:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_35183937,usr_4022bd9b,trp_b7a82392,,65DC63,web,13010.35,INR,1393.97,idem_99d7f0bd407d102d,confirmed,2026-07-09T06:17:00+05:30,,,2026-07-09T06:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_4625af46,usr_e3e0cd9d,trp_058d5aea,,7AABCB,mobile_app,59643.76,INR,6390.40,idem_a4a48ef787de576a,refunded,,2026-05-22T05:00:00+05:30,Found a better rate,2026-05-18T05:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_1a4e740b,usr_ddfd9a4a,trp_4a923b00,,AD99ED,mobile_app,18255.15,NPR,1955.91,idem_732f938e83e75157,confirmed,2026-07-05T12:47:00+05:30,,,2026-07-05T12:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_f0d3ba98,usr_16017e92,trp_37519e08,,7C10A9,web,30546.32,INR,3272.82,idem_e3355370fa3b4850,cancelled,,2026-05-24T05:00:00+05:30,Plans changed,2026-05-15T05:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_ea88de1b,usr_55b114d5,trp_df4fb834,,CC6359,web,7824.10,INR,838.30,idem_1887af1fb2e2fe4d,confirmed,2026-05-02T22:47:00+05:30,,,2026-05-02T22:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_2ff25f62,usr_209a82fa,trp_16836146,,EB9626,web,41810.92,INR,4479.74,idem_6e610b17d538f6f7,pending,,,,2026-07-12T19:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_00ead03d,usr_65303113,,,D10C84,web,31432.67,INR,3367.79,idem_45085c3d12ad5e02,confirmed,2026-07-06T07:47:00+05:30,,,2026-07-06T07:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_c0de68da,usr_7a9bb1ad,trp_77b09e9a,,3B0F5C,web,7802.57,INR,835.99,idem_0637ab1d70d9b877,confirmed,2026-06-19T16:32:00+05:30,,,2026-06-19T16:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_e2df0932,usr_d1506bce,trp_41efeeee,,D49FF6,web,116056.26,INR,12434.60,idem_5323ee7e82fab270,confirmed,2026-06-21T18:32:00+05:30,,,2026-06-21T18:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_4fd3d765,usr_be1c9458,trp_299b74ad,,A3CFF5,call_centre,5393.08,INR,577.83,idem_79c4a23229070cff,cancelled,,2026-06-05T14:00:00+05:30,Trip postponed,2026-05-22T14:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_3e09782a,usr_61710d50,trp_309cee62,,AFA443,mobile_app,3308.39,INR,354.47,idem_e00595f46fa6dc7f,cancelled,,2026-08-16T18:45:00+05:30,Duplicate booking,2026-08-15T18:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_c876cd31,usr_6feac3d4,trp_a22b16f6,,92B09E,partner,3005.00,MVR,321.96,idem_7cffc3806ab9de37,confirmed,2026-05-29T06:17:00+05:30,,,2026-05-29T06:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_5cf221f4,usr_45175b03,trp_d2c39f89,,EB3EBA,web,24159.12,INR,2588.48,idem_355d25329fe7daf2,confirmed,2026-05-25T00:02:00+05:30,,,2026-05-25T00:00:00+05:30,2026-08-18T10:00:00+05:30
bkg_7e0eeee0,usr_95492664,,,2C5E4A,web,14689.52,INR,1573.88,idem_da3b7663a15573d5,confirmed,2026-04-30T16:32:00+05:30,,,2026-04-30T16:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_65a1992d,usr_e2966606,trp_aa498437,,D63773,call_centre,62472.48,INR,6693.48,idem_66a566f92e871066,refunded,,2026-08-01T19:30:00+05:30,Found a better rate,2026-07-26T19:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_65161d9b,usr_42202df5,trp_9fc37785,,16A8AD,partner,65988.74,INR,7070.22,idem_218febd9a75447fe,confirmed,2026-07-26T08:47:00+05:30,,,2026-07-26T08:45:00+05:30,2026-08-18T10:00:00+05:30
bkg_e1f63dd6,usr_f4863900,,,328F30,mobile_app,42373.88,INR,4540.06,idem_f43d3a135100f985,confirmed,2026-06-17T04:32:00+05:30,,,2026-06-17T04:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_c9fc8ed7,usr_a370271a,trp_25e25e9c,,E17FA7,mobile_app,47270.99,INR,5064.75,idem_764f3f47daabb2f2,refunded,,2026-05-18T04:15:00+05:30,Plans changed,2026-05-15T04:15:00+05:30,2026-08-18T10:00:00+05:30
bkg_faa05371,usr_6e6d6fef,trp_1ceb9811,,AC390A,partner,39433.97,INR,4225.07,idem_2a8968617d623b01,confirmed,2026-06-15T01:32:00+05:30,,,2026-06-15T01:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_fa05a381,usr_5dec704e,trp_835b8b9f,,3F4FBD,web,26211.30,INR,2808.35,idem_1d6e2878f90b68c9,cancelled,,2026-05-23T00:30:00+05:30,Plans changed,2026-05-08T00:30:00+05:30,2026-08-18T10:00:00+05:30
bkg_95116ad4,usr_e076a69d,trp_2dbec2dd,,6038BA,mobile_app,29161.41,INR,3124.44,idem_07c5a6c101eeecff,confirmed,2026-05-01T02:17:00+05:30,,,2026-05-01T02:15:00+05:30,2026-08-18T10:00:00+05:30
