transfer_id,city_id,from_label,to_label,mode,duration_minutes,distance_km,cost,currency,carbon_kg,capacity_pax,accessible,status,updated_at
trf_48a949e7,cty_32e8e65c,Airport,Hotel district,auto_rickshaw,151,67.994,1127.90,INR,6.527,40,1,active,2026-08-18T10:00:00+05:30
trf_1c92bf33,cty_32e8e65c,Bus terminus,Hotel district,train,18,18.755,77.51,INR,0.769,6,1,active,2026-08-18T10:00:00+05:30
trf_fbc61763,cty_32e8e65c,Airport,Hill resort,train,110,110.725,261.45,INR,4.54,4,0,active,2026-08-18T10:00:00+05:30
trf_539d3843,cty_32e8e65c,Airport,Business park,cab,55,39.129,900.83,INR,6.691,3,0,active,2026-08-18T10:00:00+05:30
trf_60d9b568,cty_9327d518,Railway station,Hill resort,ferry,337,118.127,985.02,INR,13.585,80,0,active,2026-08-18T10:00:00+05:30
trf_891a9747,cty_9327d518,Railway station,Hill resort,bus,141,70.831,252.49,INR,4.817,4,0,active,2026-08-18T10:00:00+05:30
trf_9ffdd7fe,cty_9327d518,Bus terminus,Hill resort,cab,79,55.717,1265.77,INR,9.528,6,0,active,2026-08-18T10:00:00+05:30
trf_7c17cb9e,cty_9327d518,Railway station,Business park,cab,56,39.893,917.66,INR,6.822,6,1,active,2026-08-18T10:00:00+05:30
trf_6d032de5,cty_9327d518,City centre,Business park,ferry,225,79.009,672.07,INR,9.086,3,1,active,2026-08-18T10:00:00+05:30
trf_3afd9655,cty_d35a9652,Airport,Hill resort,train,4,4.086,48.17,INR,0.168,3,0,active,2026-08-18T10:00:00+05:30
trf_2fbaea94,cty_d35a9652,Bus terminus,Beach road,cab,91,63.97,1447.34,INR,10.939,4,1,active,2026-08-18T10:00:00+05:30
trf_d9aa1a0f,cty_d35a9652,Airport,Business park,ferry,214,75.075,640.60,INR,8.634,80,1,active,2026-08-18T10:00:00+05:30
trf_6b5b934f,cty_d35a9652,Bus terminus,Hotel district,ferry,72,25.264,242.12,INR,2.905,3,0,active,2026-08-18T10:00:00+05:30
trf_e3a82f9f,cty_d35a9652,Railway station,Beach road,train,46,46.275,132.55,INR,1.897,4,0,active,2026-08-18T10:00:00+05:30
trf_57bbc75c,cty_0d9ab6ff,Bus terminus,Business park,ferry,251,88.061,744.49,INR,10.127,3,1,active,2026-08-18T10:00:00+05:30
trf_bbfd6082,cty_0d9ab6ff,City centre,Hotel district,auto_rickshaw,181,81.592,1345.47,INR,7.833,6,1,active,2026-08-18T10:00:00+05:30
trf_da429db7,cty_0d9ab6ff,Port,Old town,train,59,59.283,158.57,INR,2.431,4,0,active,2026-08-18T10:00:00+05:30
trf_45f83133,cty_0d9ab6ff,Railway station,Old town,auto_rickshaw,133,59.917,998.68,INR,5.752,4,1,active,2026-08-18T10:00:00+05:30
trf_6772b0ab,cty_0d9ab6ff,Port,Business park,train,115,115.315,270.63,INR,4.728,3,1,active,2026-08-18T10:00:00+05:30
trf_013e6f6d,cty_aa759717,City centre,Old town,bus,76,38.189,154.57,INR,2.597,40,0,active,2026-08-18T10:00:00+05:30
trf_0023e3fc,cty_aa759717,Railway station,Hotel district,ferry,79,27.709,261.67,INR,3.187,40,0,active,2026-08-18T10:00:00+05:30
trf_cf94d181,cty_aa759717,City centre,Hill resort,auto_rickshaw,42,18.924,342.79,INR,1.817,3,0,active,2026-08-18T10:00:00+05:30
trf_325adae8,cty_aa759717,Airport,Business park,cab,41,29.139,681.05,INR,4.983,40,0,active,2026-08-18T10:00:00+05:30
trf_6c81caca,cty_aa759717,Railway station,Business park,cab,88,61.941,1402.71,INR,10.592,40,1,active,2026-08-18T10:00:00+05:30
trf_fa25b8a1,cty_828a7777,Bus terminus,Old town,train,42,42.887,125.77,INR,1.758,4,1,active,2026-08-18T10:00:00+05:30
trf_d1888ade,cty_828a7777,Railway station,Business park,bus,32,16.364,89.09,INR,1.113,4,0,active,2026-08-18T10:00:00+05:30
trf_25bee7ae,cty_828a7777,Bus terminus,Business park,cab,100,70.269,1585.93,INR,12.016,3,0,active,2026-08-18T10:00:00+05:30
trf_f144ffcd,cty_828a7777,Airport,Hotel district,cab,170,119.591,2671.01,INR,20.45,6,1,active,2026-08-18T10:00:00+05:30
trf_bf001da7,cty_828a7777,Bus terminus,Old town,auto_rickshaw,199,89.902,1478.43,INR,8.631,40,0,active,2026-08-18T10:00:00+05:30
trf_7f6df642,cty_95e7c8ca,City centre,Beach road,bus,176,88.038,304.11,INR,5.987,40,0,active,2026-08-18T10:00:00+05:30
trf_a660cda3,cty_95e7c8ca,Airport,Business park,bus,153,76.552,269.66,INR,5.206,6,0,active,2026-08-18T10:00:00+05:30
trf_049cb047,cty_95e7c8ca,Bus terminus,Hotel district,ferry,131,46.138,409.11,INR,5.306,6,0,active,2026-08-18T10:00:00+05:30
trf_48951290,cty_95e7c8ca,Railway station,Beach road,cab,44,31.286,728.28,INR,5.35,3,0,active,2026-08-18T10:00:00+05:30
trf_5c0b3cca,cty_95e7c8ca,Airport,Hotel district,auto_rickshaw,248,111.799,1828.79,INR,10.733,40,1,active,2026-08-18T10:00:00+05:30
trf_15b5cf2c,cty_621f4a84,Bus terminus,Hill resort,auto_rickshaw,42,18.994,343.91,INR,1.823,80,0,active,2026-08-18T10:00:00+05:30
trf_e4ec97c1,cty_621f4a84,Railway station,Business park,bus,76,38.141,154.42,INR,2.594,80,0,active,2026-08-18T10:00:00+05:30
trf_54b2a860,cty_621f4a84,Port,Beach road,cab,153,107.408,2402.97,INR,18.367,40,1,active,2026-08-18T10:00:00+05:30
trf_eb5c9e10,cty_621f4a84,City centre,Old town,train,48,48.079,136.16,INR,1.971,4,1,active,2026-08-18T10:00:00+05:30
trf_ac078964,cty_621f4a84,City centre,Old town,bus,131,65.938,237.81,INR,4.484,4,0,active,2026-08-18T10:00:00+05:30
trf_00c37307,cty_f29656ff,Bus terminus,Hill resort,ferry,136,47.609,420.87,INR,5.475,80,1,active,2026-08-18T10:00:00+05:30
trf_b486e35a,cty_f29656ff,Airport,Hotel district,cab,138,96.887,2171.52,INR,16.568,4,1,active,2026-08-18T10:00:00+05:30
trf_d110eacf,cty_f29656ff,City centre,Hill resort,cab,122,85.606,1923.33,INR,14.639,3,0,active,2026-08-18T10:00:00+05:30
trf_ef5254fe,cty_f29656ff,Bus terminus,Beach road,cab,23,16.602,405.25,INR,2.839,40,1,active,2026-08-18T10:00:00+05:30
trf_b4179b7c,cty_f29656ff,City centre,Beach road,cab,115,80.728,1816.01,INR,13.804,3,0,active,2026-08-18T10:00:00+05:30
trf_3c7b36fd,cty_cfec17b6,Railway station,Beach road,bus,45,22.85,108.55,INR,1.554,3,0,active,2026-08-18T10:00:00+05:30
trf_5ea0f410,cty_cfec17b6,Bus terminus,Beach road,cab,30,21.01,502.21,INR,3.593,3,0,active,2026-08-18T10:00:00+05:30
trf_56c514ed,cty_cfec17b6,Airport,Old town,cab,65,45.558,1042.29,INR,7.79,6,1,active,2026-08-18T10:00:00+05:30
trf_199e4847,cty_cfec17b6,Bus terminus,Business park,auto_rickshaw,12,5.459,127.35,INR,0.524,6,0,active,2026-08-18T10:00:00+05:30
trf_8bac4160,cty_cfec17b6,Airport,Business park,cab,35,24.578,580.72,INR,4.203,4,1,active,2026-08-18T10:00:00+05:30
trf_5647a43f,cty_caf3c1ee,Airport,Hotel district,train,60,60.497,160.99,INR,2.48,3,0,active,2026-08-18T10:00:00+05:30
trf_48fcff6f,cty_caf3c1ee,Bus terminus,Old town,ferry,277,96.967,815.73,INR,11.151,40,1,active,2026-08-18T10:00:00+05:30
trf_0e218d77,cty_caf3c1ee,Port,Business park,bus,178,89.187,307.56,INR,6.065,40,0,active,2026-08-18T10:00:00+05:30
trf_85820370,cty_caf3c1ee,City centre,Beach road,bus,27,13.922,81.77,INR,0.947,80,1,active,2026-08-18T10:00:00+05:30
trf_50cbcee6,cty_caf3c1ee,Railway station,Old town,auto_rickshaw,31,14.061,264.98,INR,1.35,40,1,active,2026-08-18T10:00:00+05:30
trf_aeb836c9,cty_43d0a650,Bus terminus,Beach road,ferry,176,61.733,533.86,INR,7.099,80,1,active,2026-08-18T10:00:00+05:30
trf_7feb09f5,cty_43d0a650,Railway station,Old town,ferry,120,42.069,376.55,INR,4.838,80,0,active,2026-08-18T10:00:00+05:30
trf_4669ea43,cty_43d0a650,City centre,Business park,bus,53,26.73,120.19,INR,1.818,3,0,active,2026-08-18T10:00:00+05:30
trf_1f0b52db,cty_43d0a650,Airport,Business park,cab,31,22.076,525.68,INR,3.775,4,0,active,2026-08-18T10:00:00+05:30
trf_e832d78a,cty_43d0a650,Airport,Business park,auto_rickshaw,206,92.882,1526.12,INR,8.917,6,0,active,2026-08-18T10:00:00+05:30
trf_a4028384,cty_17b8ef2f,Railway station,Beach road,bus,237,118.76,396.28,INR,8.076,40,0,active,2026-08-18T10:00:00+05:30
trf_05c09c8a,cty_17b8ef2f,Bus terminus,Business park,bus,31,15.601,86.80,INR,1.061,80,1,active,2026-08-18T10:00:00+05:30
trf_40ca467e,cty_17b8ef2f,City centre,Beach road,train,86,86.895,213.79,INR,3.563,80,1,active,2026-08-18T10:00:00+05:30
trf_89dcc297,cty_17b8ef2f,Airport,Beach road,ferry,133,46.826,414.61,INR,5.385,6,0,active,2026-08-18T10:00:00+05:30
trf_5b469d8c,cty_17b8ef2f,Railway station,Beach road,auto_rickshaw,79,35.825,613.21,INR,3.439,4,0,active,2026-08-18T10:00:00+05:30
trf_d8e40c8f,cty_8fc1539e,Port,Beach road,ferry,210,73.779,630.23,INR,8.485,6,0,active,2026-08-18T10:00:00+05:30
trf_c76dedae,cty_8fc1539e,Railway station,Hill resort,train,107,107.95,255.90,INR,4.426,3,0,active,2026-08-18T10:00:00+05:30
trf_1051b821,cty_8fc1539e,Airport,Hill resort,train,57,57.198,154.40,INR,2.345,4,1,active,2026-08-18T10:00:00+05:30
trf_ff944a97,cty_8fc1539e,Port,Hill resort,bus,75,37.693,153.08,INR,2.563,40,0,active,2026-08-18T10:00:00+05:30
trf_0bde285f,cty_8fc1539e,City centre,Beach road,ferry,246,86.343,730.74,INR,9.929,80,0,active,2026-08-18T10:00:00+05:30
trf_c45ed036,cty_bbb31d67,Airport,Hotel district,cab,134,94.109,2110.40,INR,16.093,6,1,active,2026-08-18T10:00:00+05:30
trf_05db5018,cty_bbb31d67,Railway station,Hill resort,ferry,23,8.255,106.04,INR,0.949,3,1,active,2026-08-18T10:00:00+05:30
trf_6c8d4b16,cty_bbb31d67,Railway station,Hill resort,ferry,188,65.911,567.29,INR,7.58,6,0,active,2026-08-18T10:00:00+05:30
trf_88a4cf25,cty_bbb31d67,Airport,Hill resort,bus,113,56.803,210.41,INR,3.863,40,1,active,2026-08-18T10:00:00+05:30
trf_45905c72,cty_bbb31d67,City centre,Hill resort,train,4,4.219,48.44,INR,0.173,6,0,active,2026-08-18T10:00:00+05:30
trf_facd2912,cty_a97c33ad,Airport,Hill resort,ferry,96,33.608,308.87,INR,3.865,6,1,active,2026-08-18T10:00:00+05:30
trf_26add781,cty_a97c33ad,Port,Hill resort,cab,137,96.544,2163.97,INR,16.509,80,0,active,2026-08-18T10:00:00+05:30
trf_03f93391,cty_a97c33ad,Port,Hill resort,ferry,263,92.058,776.46,INR,10.587,3,0,active,2026-08-18T10:00:00+05:30
trf_fa08662e,cty_a97c33ad,Port,Business park,cab,86,60.755,1376.60,INR,10.389,6,1,active,2026-08-18T10:00:00+05:30
trf_c35525c3,cty_a97c33ad,Airport,Business park,ferry,102,35.868,326.94,INR,4.125,80,1,active,2026-08-18T10:00:00+05:30
trf_80c1de33,cty_f8b75f8e,Port,Old town,cab,45,31.949,742.88,INR,5.463,80,0,active,2026-08-18T10:00:00+05:30
trf_7700f8be,cty_f8b75f8e,Port,Business park,train,67,67.604,175.21,INR,2.772,4,1,active,2026-08-18T10:00:00+05:30
trf_7833515a,cty_f8b75f8e,Railway station,Old town,auto_rickshaw,110,49.91,838.56,INR,4.791,80,0,active,2026-08-18T10:00:00+05:30
trf_0067030c,cty_f8b75f8e,Bus terminus,Business park,auto_rickshaw,197,88.906,1462.50,INR,8.535,40,1,active,2026-08-18T10:00:00+05:30
trf_ac4995bd,cty_f8b75f8e,Railway station,Business park,ferry,74,25.923,247.39,INR,2.981,3,0,active,2026-08-18T10:00:00+05:30
trf_f9d49f71,cty_3503e391,Railway station,Hotel district,cab,139,97.6,2187.19,INR,16.69,4,0,active,2026-08-18T10:00:00+05:30
trf_1ef50b9d,cty_3503e391,Airport,Hill resort,train,53,53.292,146.58,INR,2.185,4,1,active,2026-08-18T10:00:00+05:30
trf_1055b58f,cty_3503e391,Railway station,Beach road,ferry,266,93.407,787.26,INR,10.742,4,0,active,2026-08-18T10:00:00+05:30
trf_6771bd8e,cty_3503e391,Airport,Beach road,ferry,308,107.948,903.59,INR,12.414,80,0,active,2026-08-18T10:00:00+05:30
trf_fa3f2538,cty_3503e391,Port,Business park,auto_rickshaw,181,81.499,1343.99,INR,7.824,80,0,active,2026-08-18T10:00:00+05:30
trf_c3299da9,cty_7fc82336,Airport,Old town,cab,28,20.104,482.30,INR,3.438,80,0,active,2026-08-18T10:00:00+05:30
trf_ca7b97e1,cty_7fc82336,Bus terminus,Hotel district,auto_rickshaw,47,21.261,380.17,INR,2.041,4,0,active,2026-08-18T10:00:00+05:30
trf_f80c9ede,cty_7fc82336,City centre,Business park,bus,155,77.529,272.59,INR,5.272,3,0,active,2026-08-18T10:00:00+05:30
trf_3730a188,cty_7fc82336,Airport,Hotel district,auto_rickshaw,248,111.643,1826.28,INR,10.718,40,0,active,2026-08-18T10:00:00+05:30
trf_587e2928,cty_7fc82336,Port,Beach road,bus,196,98.339,335.02,INR,6.687,4,0,active,2026-08-18T10:00:00+05:30
trf_6f84aa18,cty_f288c6a0,Airport,Hill resort,auto_rickshaw,242,108.991,1783.86,INR,10.463,80,0,active,2026-08-18T10:00:00+05:30
trf_aa3a5816,cty_f288c6a0,Port,Business park,cab,75,52.701,1199.41,INR,9.012,4,1,active,2026-08-18T10:00:00+05:30
trf_7b3b265c,cty_f288c6a0,Bus terminus,Hotel district,cab,157,110.054,2461.18,INR,18.819,6,1,active,2026-08-18T10:00:00+05:30
trf_a12baff7,cty_f288c6a0,Railway station,Business park,cab,29,20.639,494.07,INR,3.529,6,1,active,2026-08-18T10:00:00+05:30
trf_9863f6b2,cty_f288c6a0,Bus terminus,Business park,bus,53,26.986,120.96,INR,1.835,4,0,active,2026-08-18T10:00:00+05:30
trf_160f7e7a,cty_7f673457,City centre,Hill resort,cab,131,92.137,2067.02,INR,15.756,4,1,active,2026-08-18T10:00:00+05:30
trf_d0ea15c9,cty_7f673457,Port,Hill resort,ferry,187,65.762,566.10,INR,7.563,4,0,active,2026-08-18T10:00:00+05:30
trf_97b96539,cty_7f673457,Airport,Beach road,cab,51,35.704,825.48,INR,6.105,80,0,active,2026-08-18T10:00:00+05:30
trf_0e91938d,cty_7f673457,City centre,Hotel district,ferry,109,38.446,347.57,INR,4.421,80,0,active,2026-08-18T10:00:00+05:30
trf_5fdecca5,cty_7f673457,Port,Old town,auto_rickshaw,134,60.476,1007.62,INR,5.806,6,1,active,2026-08-18T10:00:00+05:30
trf_646d467e,cty_8b6b1652,Port,Hill resort,bus,203,101.651,344.95,INR,6.912,6,1,active,2026-08-18T10:00:00+05:30
trf_1eee6fae,cty_8b6b1652,Bus terminus,Beach road,ferry,173,60.687,525.49,INR,6.979,6,0,active,2026-08-18T10:00:00+05:30
trf_6b97eb27,cty_8b6b1652,City centre,Old town,cab,73,51.322,1169.09,INR,8.776,40,1,active,2026-08-18T10:00:00+05:30
trf_7c9486b4,cty_8b6b1652,Airport,Hill resort,ferry,50,17.745,181.96,INR,2.041,40,0,active,2026-08-18T10:00:00+05:30
trf_dad82647,cty_8b6b1652,Port,Hotel district,auto_rickshaw,50,22.723,403.57,INR,2.181,40,1,active,2026-08-18T10:00:00+05:30
trf_29ec38a1,cty_34bbfdfe,Airport,Hill resort,ferry,282,98.778,830.22,INR,11.359,4,0,active,2026-08-18T10:00:00+05:30
trf_af984173,cty_34bbfdfe,Airport,Business park,auto_rickshaw,104,46.873,789.97,INR,4.5,40,0,active,2026-08-18T10:00:00+05:30
trf_82dbf860,cty_34bbfdfe,Bus terminus,Hill resort,cab,170,119.565,2670.44,INR,20.446,80,0,active,2026-08-18T10:00:00+05:30
trf_2924b122,cty_34bbfdfe,Airport,Hotel district,train,67,67.082,174.16,INR,2.75,40,1,active,2026-08-18T10:00:00+05:30
trf_573353b1,cty_34bbfdfe,City centre,Hotel district,bus,161,80.536,281.61,INR,5.476,80,1,active,2026-08-18T10:00:00+05:30
trf_5eff2418,cty_d401ef6b,Railway station,Beach road,train,21,21.346,82.69,INR,0.875,80,0,active,2026-08-18T10:00:00+05:30
trf_03ebf5e8,cty_d401ef6b,Bus terminus,Beach road,bus,103,51.938,195.81,INR,3.532,4,0,active,2026-08-18T10:00:00+05:30
trf_84aca9d5,cty_d401ef6b,Bus terminus,Hotel district,cab,10,7.686,209.10,INR,1.314,40,0,active,2026-08-18T10:00:00+05:30
trf_51e691a1,cty_d401ef6b,Railway station,Hill resort,cab,35,24.879,587.34,INR,4.254,3,0,active,2026-08-18T10:00:00+05:30
trf_0b6ca140,cty_d401ef6b,Airport,Beach road,ferry,64,22.634,221.07,INR,2.603,3,0,active,2026-08-18T10:00:00+05:30
trf_434ad0f8,cty_67ee7f6f,Railway station,Beach road,cab,73,51.267,1167.87,INR,8.767,4,0,active,2026-08-18T10:00:00+05:30
trf_fb815973,cty_67ee7f6f,Airport,Old town,auto_rickshaw,154,69.525,1152.40,INR,6.674,40,0,active,2026-08-18T10:00:00+05:30
trf_a9e67ad6,cty_67ee7f6f,Bus terminus,Beach road,cab,61,42.895,983.70,INR,7.335,80,1,active,2026-08-18T10:00:00+05:30
trf_9df827dc,cty_67ee7f6f,Bus terminus,Business park,cab,94,66.489,1502.77,INR,11.37,6,0,active,2026-08-18T10:00:00+05:30
trf_2dc179af,cty_67ee7f6f,Airport,Hill resort,auto_rickshaw,119,53.901,902.42,INR,5.175,40,0,active,2026-08-18T10:00:00+05:30
trf_f06c8c64,cty_541018a9,Railway station,Beach road,auto_rickshaw,107,48.403,814.45,INR,4.647,4,0,active,2026-08-18T10:00:00+05:30
trf_f5e5202a,cty_541018a9,City centre,Old town,train,16,16.41,72.82,INR,0.673,3,0,active,2026-08-18T10:00:00+05:30
trf_de8b2d61,cty_541018a9,City centre,Old town,auto_rickshaw,159,71.578,1185.24,INR,6.871,80,0,active,2026-08-18T10:00:00+05:30
trf_ac92fd41,cty_541018a9,Railway station,Beach road,train,20,20.647,81.29,INR,0.847,6,0,active,2026-08-18T10:00:00+05:30
trf_a941674e,cty_541018a9,Port,Business park,ferry,175,61.508,532.06,INR,7.073,3,0,active,2026-08-18T10:00:00+05:30
trf_802acfdf,cty_718f03c7,Railway station,Hotel district,bus,57,28.832,126.50,INR,1.961,3,0,active,2026-08-18T10:00:00+05:30
trf_3b2e078a,cty_718f03c7,Bus terminus,Hill resort,cab,47,33.263,771.78,INR,5.688,80,0,active,2026-08-18T10:00:00+05:30
trf_1a412564,cty_718f03c7,Airport,Hill resort,cab,163,114.233,2553.13,INR,19.534,40,0,active,2026-08-18T10:00:00+05:30
trf_3b0da2a0,cty_718f03c7,Bus terminus,Old town,train,93,93.036,226.07,INR,3.814,4,1,active,2026-08-18T10:00:00+05:30
trf_7ae527d5,cty_718f03c7,Airport,Hotel district,cab,70,49.668,1132.71,INR,8.493,6,0,active,2026-08-18T10:00:00+05:30
trf_25f900f0,cty_7cb0b529,Port,Beach road,ferry,32,11.449,131.59,INR,1.317,3,1,active,2026-08-18T10:00:00+05:30
trf_97eee8f8,cty_7cb0b529,Airport,Old town,bus,79,39.854,159.56,INR,2.71,4,0,active,2026-08-18T10:00:00+05:30
trf_91c71b88,cty_7cb0b529,Port,Hill resort,cab,141,99.272,2223.98,INR,16.975,3,0,active,2026-08-18T10:00:00+05:30
trf_13ce0104,cty_7cb0b529,Railway station,Beach road,cab,12,8.402,224.84,INR,1.437,40,0,active,2026-08-18T10:00:00+05:30
trf_ba710794,cty_7cb0b529,City centre,Hotel district,cab,162,113.467,2536.26,INR,19.403,40,1,active,2026-08-18T10:00:00+05:30
trf_5d608b73,cty_d4f5e3a5,Port,Hill resort,ferry,158,55.641,485.13,INR,6.399,3,1,active,2026-08-18T10:00:00+05:30
trf_408c5e11,cty_d4f5e3a5,Port,Business park,train,95,95.411,230.82,INR,3.912,40,0,active,2026-08-18T10:00:00+05:30
trf_c939e79e,cty_d4f5e3a5,Bus terminus,Hill resort,auto_rickshaw,231,104.174,1706.78,INR,10.001,6,0,active,2026-08-18T10:00:00+05:30
trf_7ddbb272,cty_d4f5e3a5,Railway station,Hill resort,cab,143,100.751,2256.53,INR,17.228,80,0,active,2026-08-18T10:00:00+05:30
