itinerary_id,trip_id,name,version,is_active,generated_by,total_cost,currency,total_duration_minutes,total_carbon_kg,optimizer_weights,status,created_at,updated_at
itn_941b5b4e,trp_55127690,Nainital plan v3,3,1,agent,22250.00,INR,1290,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d7d85507,trp_f272c28c,Darjeeling plan v1,1,1,ai_planner,53075.00,LKR,1515,12.5,,active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b502ac07,trp_06892c8d,Alleppey plan v1,1,0,agent,17300.00,NPR,1185,10.1,,active,2026-06-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0c6b7a32,trp_06892c8d,Alleppey plan v2,2,0,agent,13300.00,NPR,825,7.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_21ea5a32,trp_06892c8d,Alleppey plan v3,3,1,agent,15150.00,NPR,795,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3f3ae0ea,trp_2ee981f7,Gokarna plan v1,1,1,ai_planner,14600.00,INR,1395,12.5,,active,2026-05-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_69384096,trp_d04f7574,Pondicherry plan v1,1,1,agent,31700.00,INR,915,12.5,,active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_06da6ef5,trp_bd724666,Tirupati plan v1,1,0,user,11405.50,MYR,1170,11.3,,active,2026-06-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_8b8a116e,trp_bd724666,Tirupati plan v2,2,0,user,14405.50,MYR,1155,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9e82d6d9,trp_bd724666,Tirupati plan v3,3,1,agent,6255.50,MYR,1110,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_595c4bfc,trp_72f16fa8,Pondicherry plan v1,1,1,user,20350.00,INR,1620,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_aca365ac,trp_a62adcb1,Kolkata plan v1,1,1,ai_planner,1465000.00,IDR,525,5.3,,active,2026-05-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_fb5bce01,trp_46f6a107,Alleppey plan v1,1,1,agent,3002.75,MYR,795,10.1,,active,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_85057601,trp_0c26fee1,Dubai plan v1,1,1,user,13214.42,INR,900,13.7,,active,2026-05-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_6f3cef43,trp_71d9ea27,Thiruvananthapuram plan v1,1,1,ai_planner,18700.00,INR,1380,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ff576370,trp_cc443308,Alleppey plan v1,1,1,ai_planner,8550.00,INR,690,6.5,,active,2026-06-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_493035c5,trp_aad6a7fa,Jodhpur plan v1,1,0,ai_planner,11600.00,INR,645,7.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_a4f05dcb,trp_aad6a7fa,Jodhpur plan v2,2,1,user,8800.00,INR,720,7.7,,active,2026-05-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_33042417,trp_a9612ee9,Bengaluru plan v1,1,1,ai_planner,25050.00,INR,1350,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_caa2e651,trp_25a53353,Bangkok plan v1,1,1,ai_planner,19268.20,INR,1065,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_136ed5a8,trp_3c03178d,Nainital plan v1,1,1,user,20050.00,INR,1365,12.5,,active,2026-07-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d8ee86de,trp_ffd35a10,Madurai plan v1,1,1,user,19650.00,INR,1905,13.7,,active,2026-05-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_539dc7fd,trp_8804c5b5,Madurai plan v1,1,1,ai_planner,3850.00,INR,1440,12,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_649c4686,trp_152be4e1,Gokarna plan v1,1,0,ai_planner,18200.00,INR,1500,12.5,,active,2026-08-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_86c9d098,trp_152be4e1,Gokarna plan v2,2,0,ai_planner,17150.00,INR,1320,11.3,,active,2026-06-11T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9a9fc11a,trp_152be4e1,Gokarna plan v3,3,1,user,16450.00,INR,1065,11.3,,active,2026-06-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_c08c070b,trp_b8ab5705,Chennai plan v1,1,1,user,5700.00,INR,1020,10.8,,active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ba104262,trp_2ee78a2e,Shimla plan v1,1,1,user,8250.00,INR,525,8.9,,active,2026-06-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_21432ab8,trp_c4c131cd,Varanasi plan v1,1,1,ai_planner,3791.00,AED,1395,13.7,,active,2026-07-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_e1ab975b,trp_894ef822,Ooty plan v1,1,1,ai_planner,6350.00,INR,915,13.2,,active,2026-07-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_60fade9a,trp_75c88e52,Alleppey plan v1,1,1,user,12050.00,INR,885,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_85c1ab20,trp_81ba1051,Rishikesh plan v1,1,1,optimizer,22400.00,INR,975,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_107081a7,trp_357dbb6b,Bali plan v1,1,1,ai_planner,105000.00,INR,1020,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_627dc8a6,trp_49911bd2,Jaipur plan v1,1,1,ai_planner,17200.00,NPR,1320,11.3,,active,2026-07-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3a2e5aa3,trp_47cb5f68,Kuala Lumpur plan v1,1,0,ai_planner,12948.42,INR,1080,13.7,,active,2026-05-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_87a5978b,trp_47cb5f68,Kuala Lumpur plan v2,2,0,optimizer,12878.59,INR,1140,13.7,,active,2026-04-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_c38961d1,trp_47cb5f68,Kuala Lumpur plan v3,3,1,ai_planner,12991.38,INR,1410,12.5,,active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_78dad933,trp_cdc63a8d,Pondicherry plan v1,1,1,ai_planner,22000.00,INR,1425,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_91204091,trp_bfc1339e,Shimla plan v1,1,1,ai_planner,4374.00,MYR,1530,12.5,,active,2026-07-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_8f6a72d8,trp_f861423a,Thanjavur plan v1,1,1,user,22050.00,INR,1245,13.7,,active,2026-05-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_8c955314,trp_5764aee3,Panaji plan v1,1,1,user,13300.00,INR,720,10.1,,active,2026-06-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_6e2c603f,trp_493ac8fc,Thanjavur plan v1,1,0,ai_planner,13200.00,NPR,885,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ba8c73cf,trp_493ac8fc,Thanjavur plan v2,2,0,user,13550.00,NPR,765,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_4ce6da77,trp_493ac8fc,Thanjavur plan v3,3,1,ai_planner,18250.00,NPR,465,8.9,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_75dc4f6b,trp_603a2836,Bhubaneswar plan v1,1,1,agent,11750.00,INR,525,6.5,,active,2026-07-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_c6ded382,trp_77b09e9a,Amritsar plan v1,1,1,optimizer,5000.00,CHF,285,4.8,,active,2026-05-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_329bf6c8,trp_11c9d5a3,Jaisalmer plan v1,1,0,ai_planner,6250.00,INR,855,6.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b586d3ea,trp_11c9d5a3,Jaisalmer plan v2,2,1,user,7650.00,INR,420,5.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_acc53645,trp_55e4cc10,Kuala Lumpur plan v1,1,1,ai_planner,5115.46,INR,585,5.3,,active,2026-04-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_8639f8de,trp_e4e09b00,Abu Dhabi plan v1,1,0,optimizer,411.31,CHF,1545,13.7,,active,2026-06-09T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_7f4ae96d,trp_e4e09b00,Abu Dhabi plan v2,2,0,optimizer,365.01,CHF,870,11.3,,active,2026-04-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_73de9344,trp_e4e09b00,Abu Dhabi plan v3,3,1,agent,417.91,CHF,1380,11.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-15T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_f1b52339,trp_2dbec2dd,Bhubaneswar plan v1,1,1,ai_planner,25250.00,INR,945,11.3,,active,2026-06-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_06005a46,trp_a0a40e8a,Nainital plan v1,1,1,agent,19050.00,INR,1620,12.5,,active,2026-06-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3068d7e3,trp_90e2fb40,Bangkok plan v1,1,1,agent,21.05,INR,780,9.6,,active,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ea33f27e,trp_cdf7d1fa,Gokarna plan v1,1,1,ai_planner,5589.75,MYR,1200,11.3,,active,2026-07-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_405eacc5,trp_fd9a2525,Abu Dhabi plan v1,1,1,agent,20306.51,INR,1455,13.7,,active,2026-07-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_be6260e0,trp_0053b2f7,Pondicherry plan v1,1,0,optimizer,20550.00,INR,1200,11.3,,active,2026-04-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_87bfb7b6,trp_0053b2f7,Pondicherry plan v2,2,0,ai_planner,21750.00,INR,1290,12.5,,active,2026-04-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0398b75e,trp_0053b2f7,Pondicherry plan v3,3,1,agent,15700.00,INR,1050,12.5,,active,2026-04-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d92af403,trp_e086bae2,Kyoto plan v1,1,1,ai_planner,11370.00,INR,705,6.5,,active,2026-05-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b1221820,trp_4a923b00,Bhuj plan v1,1,1,user,7900.00,INR,270,5.3,,active,2026-05-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d5705104,trp_c1603110,Munnar plan v1,1,1,optimizer,6431.75,SGD,735,10.1,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_fa1f2ad4,trp_77e61eba,Chennai plan v1,1,1,user,5200.00,INR,1425,13.2,,active,2026-07-25T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_53471b29,trp_b367a36c,Guwahati plan v1,1,0,ai_planner,63100.00,LKR,1395,12.5,,active,2026-05-27T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_40b4095a,trp_b367a36c,Guwahati plan v2,2,0,agent,61000.00,LKR,1050,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-22T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b11c4e49,trp_b367a36c,Guwahati plan v3,3,1,user,66000.00,LKR,1530,13.7,,active,2026-07-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_5e5fc7f8,trp_f18e9739,Jodhpur plan v1,1,1,optimizer,5464.75,QAR,990,12.5,,active,2026-05-14T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_b0956784,trp_7945b3eb,Visakhapatnam plan v1,1,0,agent,12550.00,INR,690,8.4,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_f1993375,trp_7945b3eb,Visakhapatnam plan v2,2,0,ai_planner,15000.00,INR,600,8.9,,active,2026-08-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0826ba64,trp_7945b3eb,Visakhapatnam plan v3,3,1,ai_planner,14050.00,INR,1005,8.9,,active,2026-05-23T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_767918cf,trp_994bc238,Mysuru plan v1,1,1,agent,24700.00,NPR,975,12.5,,active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_7eeb931b,trp_4eec7794,Jodhpur plan v1,1,1,user,5100.00,INR,1320,10.8,,active,2026-05-05T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_168b47f9,trp_1aeefd3e,Guwahati plan v1,1,1,agent,21200.00,INR,1155,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-20T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9c480daf,trp_76c2a4af,Kuala Lumpur plan v1,1,1,optimizer,107.42,INR,975,10.8,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-08-13T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_4b2c562f,trp_afb42eab,Jaipur plan v1,1,1,optimizer,3700.00,INR,1365,10.8,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-05-31T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3958b661,trp_89eafa58,Bhuj plan v1,1,1,agent,25700.00,INR,645,11.3,,active,2026-05-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_0af39d28,trp_5a3f0c25,Jaisalmer plan v1,1,0,optimizer,15050.00,INR,1395,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-12T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_9ca0d1d6,trp_5a3f0c25,Jaisalmer plan v2,2,1,ai_planner,16250.00,INR,1290,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-21T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_d0b178bc,trp_77488f6d,Jaipur plan v1,1,1,optimizer,10150.00,INR,465,6.5,,active,2026-05-19T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_2cc1907a,trp_9fc37785,Udaipur plan v1,1,1,ai_planner,31050.00,INR,1620,12.5,,active,2026-06-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_eea5c64c,trp_22fafc52,Gangtok plan v1,1,1,agent,76600.00,LKR,1500,11.3,,active,2026-07-02T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_cb90b7a7,trp_c2f959a5,Bangkok plan v1,1,0,ai_planner,20994.30,INR,1065,11.3,,active,2026-05-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_da23ddbe,trp_c2f959a5,Bangkok plan v2,2,1,ai_planner,17500.00,INR,1290,12.5,,active,2026-05-18T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_561d0984,trp_0f1dfedf,Bangkok plan v1,1,1,ai_planner,22126.05,INR,810,11.3,,active,2026-05-10T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_5c15acd2,trp_5a52c165,Kuala Lumpur plan v1,1,1,optimizer,20204.07,INR,675,10.1,,active,2026-07-01T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ab2fbc15,trp_32ae8bfe,Aurangabad plan v1,1,1,optimizer,9150.00,INR,660,8.9,,active,2026-07-17T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_020f4b0f,trp_f80fc406,Jaisalmer plan v1,1,1,user,17150.00,INR,1320,11.3,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-29T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_7e672336,trp_44ecb435,Mumbai plan v1,1,1,ai_planner,6100.00,SGD,1515,13.2,,active,2026-07-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bdef31ce,trp_53739538,Zurich plan v1,1,0,user,34.14,INR,1110,12,,active,2026-07-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_fa5c6208,trp_53739538,Zurich plan v2,2,0,ai_planner,12503.69,INR,1050,13.7,,active,2026-06-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_1d6f9722,trp_53739538,Zurich plan v3,3,1,optimizer,12507.89,INR,1455,13.7,,active,2026-06-24T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_f9697316,trp_ecb6fa2a,Kandy plan v1,1,1,optimizer,15887.50,INR,645,11.3,,active,2026-07-26T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_75971bd3,trp_3178fc73,Bhuj plan v1,1,0,ai_planner,24300.00,INR,1020,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-07-07T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_3a70e15e,trp_3178fc73,Bhuj plan v2,2,0,ai_planner,18400.00,INR,435,8.9,,active,2026-07-03T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_e21ac66a,trp_3178fc73,Bhuj plan v3,3,1,user,24700.00,INR,990,13.7,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-04-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bd12e442,trp_41efeeee,Pondicherry plan v1,1,1,agent,21200.00,INR,1485,13.7,,active,2026-07-28T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_4bfcc7d2,trp_c4b22e96,Kyoto plan v1,1,1,optimizer,21878.00,INR,975,10.1,,active,2026-08-06T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_cb911be2,trp_f05ed67d,Puri plan v1,1,0,optimizer,5022.00,SGD,1425,13.7,,active,2026-05-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_79caf1e2,trp_f05ed67d,Puri plan v2,2,1,optimizer,4622.00,SGD,1335,12.5,,active,2026-06-04T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_bb4a80a9,trp_ab02433c,Thanjavur plan v1,1,0,ai_planner,6000.00,INR,780,6.5,,active,2026-06-16T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_ed3c670e,trp_ab02433c,Thanjavur plan v2,2,1,ai_planner,5700.00,INR,525,5.3,,active,2026-05-30T10:00:00+05:30,2026-08-18T10:00:00+05:30
itn_010ff343,trp_92b064f2,Jaisalmer plan v1,1,0,ai_planner,1952200.00,IDR,1365,12.5,"{""cost"":0.5,""time"":0.3,""carbon"":0.2}",active,2026-06-08T10:00:00+05:30,2026-08-18T10:00:00+05:30
