component_id,package_id,component_type,entity_type,entity_id,day_index,slot,title,quantity,price_delta,currency,is_optional,is_swappable,swap_group,updated_at
pcm_1d02b419,pkg_9653fa98,meal,,,3,overnight,Dinner at a local kitchen,1,1736.80,NPR,1,0,,2026-08-18T10:00:00+05:30
pcm_01746da7,pkg_9653fa98,entry_ticket,,,3,evening,Monument entry tickets,1,748.88,NPR,1,0,,2026-08-18T10:00:00+05:30
pcm_949cbedc,pkg_118c6914,hotel,hotel,htl_134fd9ab,1,morning,Heritage Orchard Inn,1,3122.27,INR,0,1,hotel_6914,2026-08-18T10:00:00+05:30
pcm_01a1529d,pkg_118c6914,poi,poi,poi_3a505801,1,afternoon,Bhubaneswar Observatory,1,481.11,INR,0,1,poi_6914,2026-08-18T10:00:00+05:30
pcm_b1b17269,pkg_118c6914,poi,poi,poi_abed8837,2,morning,Riverside Lounge,1,581.95,INR,0,1,poi_6914,2026-08-18T10:00:00+05:30
pcm_55719195,pkg_118c6914,transfer,,,2,afternoon,Airport transfer,1,1364.90,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_31f63661,pkg_118c6914,guide,,,3,morning,Local guide (half day),1,3010.51,INR,1,1,guide_6914,2026-08-18T10:00:00+05:30
pcm_6d0726ea,pkg_118c6914,meal,,,3,afternoon,Dinner at a local kitchen,1,1003.35,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_4bcc429c,pkg_118c6914,entry_ticket,,,4,evening,Monument entry tickets,1,414.89,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_ee6314cc,pkg_c3711737,hotel,hotel,htl_52debcee,1,afternoon,Villa Regency & Spa,1,3219.02,INR,0,1,hotel_1737,2026-08-18T10:00:00+05:30
pcm_2a11889c,pkg_c3711737,poi,poi,poi_a1b45daa,1,evening,Cliff Walk,1,372.23,INR,0,1,poi_1737,2026-08-18T10:00:00+05:30
pcm_57fdef8a,pkg_c3711737,poi,poi,poi_8016ef2b,2,evening,Cycling Loop,1,756.43,INR,0,1,poi_1737,2026-08-18T10:00:00+05:30
pcm_ed3ec22d,pkg_c3711737,transfer,,,2,afternoon,Airport transfer,1,1319.29,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_fb9a0c14,pkg_c3711737,guide,,,3,afternoon,Local guide (half day),1,3872.42,INR,1,1,guide_1737,2026-08-18T10:00:00+05:30
pcm_004d38af,pkg_c3711737,meal,,,3,morning,Dinner at a local kitchen,1,626.41,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_51c5767a,pkg_c3711737,entry_ticket,,,4,morning,Monument entry tickets,1,602.20,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_ec1d8308,pkg_55b62f9c,hotel,hotel,htl_14e0ebdc,1,overnight,Hillview Bagh Resort,1,1792.30,INR,0,1,hotel_2f9c,2026-08-18T10:00:00+05:30
pcm_d42a4e43,pkg_55b62f9c,poi,poi,poi_3c7df950,1,morning,Ayurveda Centre,1,612.59,INR,0,1,poi_2f9c,2026-08-18T10:00:00+05:30
pcm_7372e0ab,pkg_55b62f9c,poi,poi,poi_3c7df950,2,morning,Ayurveda Centre,1,454.30,INR,0,1,poi_2f9c,2026-08-18T10:00:00+05:30
pcm_2d0257e9,pkg_55b62f9c,transfer,,,2,overnight,Airport transfer,1,1180.48,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_7ce59974,pkg_55b62f9c,guide,,,3,afternoon,Local guide (half day),1,2940.47,INR,1,1,guide_2f9c,2026-08-18T10:00:00+05:30
pcm_04a8d471,pkg_55b62f9c,meal,,,3,afternoon,Dinner at a local kitchen,1,835.06,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_f1d67ce4,pkg_55b62f9c,entry_ticket,,,4,overnight,Monument entry tickets,1,437.18,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_ce7b55cc,pkg_8bacdecf,hotel,hotel,htl_f73ed585,1,evening,Lake Nest Suites,1,32.41,CHF,0,1,hotel_decf,2026-08-18T10:00:00+05:30
pcm_74bdc203,pkg_8bacdecf,poi,poi,poi_6a47f431,1,morning,Riverside Lounge,1,6.57,CHF,0,1,poi_decf,2026-08-18T10:00:00+05:30
pcm_db86d19c,pkg_8bacdecf,poi,poi,poi_e42ee142,2,evening,Rock Garden,1,3.78,CHF,0,1,poi_decf,2026-08-18T10:00:00+05:30
pcm_91720259,pkg_8bacdecf,transfer,,,2,evening,Airport transfer,1,8.28,CHF,0,1,,2026-08-18T10:00:00+05:30
pcm_ff8b7975,pkg_8bacdecf,guide,,,3,overnight,Local guide (half day),1,26.83,CHF,1,1,guide_decf,2026-08-18T10:00:00+05:30
pcm_cb8502ec,pkg_8bacdecf,meal,,,3,morning,Dinner at a local kitchen,1,10.37,CHF,1,0,,2026-08-18T10:00:00+05:30
pcm_6f5cc43a,pkg_8bacdecf,entry_ticket,,,4,afternoon,Monument entry tickets,1,3.31,CHF,1,0,,2026-08-18T10:00:00+05:30
pcm_1ca0761e,pkg_3577c6e8,hotel,hotel,htl_885db404,1,overnight,Riverside Bungalow Suites,1,202.27,AED,0,1,hotel_c6e8,2026-08-18T10:00:00+05:30
pcm_5134a125,pkg_3577c6e8,poi,poi,poi_7d1dd83c,1,morning,Cycling Loop,1,22.97,AED,0,1,poi_c6e8,2026-08-18T10:00:00+05:30
pcm_d8e38665,pkg_3577c6e8,poi,poi,poi_6be08c1c,2,morning,Antique Lane,1,30.30,AED,0,1,poi_c6e8,2026-08-18T10:00:00+05:30
pcm_16a92b4a,pkg_3577c6e8,transfer,,,2,evening,Airport transfer,1,36.69,AED,0,1,,2026-08-18T10:00:00+05:30
pcm_97cceb4f,pkg_3577c6e8,guide,,,3,afternoon,Local guide (half day),1,93.55,AED,1,1,guide_c6e8,2026-08-18T10:00:00+05:30
pcm_4e8aedae,pkg_3577c6e8,meal,,,3,evening,Dinner at a local kitchen,1,19.60,AED,1,0,,2026-08-18T10:00:00+05:30
pcm_f462b38f,pkg_3577c6e8,entry_ticket,,,4,afternoon,Monument entry tickets,1,11.29,AED,1,0,,2026-08-18T10:00:00+05:30
pcm_725884c8,pkg_f2d745d6,hotel,hotel,htl_c8a743dd,1,evening,Indigo Verandah Homestay,1,3227.11,INR,0,1,hotel_45d6,2026-08-18T10:00:00+05:30
pcm_0d0e2deb,pkg_f2d745d6,poi,poi,poi_8ea44859,1,morning,Hot Springs,1,525.96,INR,0,1,poi_45d6,2026-08-18T10:00:00+05:30
pcm_58c79519,pkg_f2d745d6,poi,poi,poi_ec6f466f,2,morning,Riverside Lounge,1,367.84,INR,0,1,poi_45d6,2026-08-18T10:00:00+05:30
pcm_b615142a,pkg_f2d745d6,transfer,,,2,evening,Airport transfer,1,1162.96,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_e23f433f,pkg_f2d745d6,guide,,,3,overnight,Local guide (half day),1,3061.92,INR,1,1,guide_45d6,2026-08-18T10:00:00+05:30
pcm_6b29be94,pkg_f2d745d6,meal,,,3,afternoon,Dinner at a local kitchen,1,559.34,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_80960004,pkg_f2d745d6,entry_ticket,,,4,afternoon,Monument entry tickets,1,455.04,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_f9307fd9,pkg_da371460,hotel,hotel,htl_34abcc09,1,afternoon,Villa Palms by the Lake,1,4365.38,INR,0,1,hotel_1460,2026-08-18T10:00:00+05:30
pcm_9e61cd90,pkg_da371460,poi,poi,poi_f069d484,1,overnight,Rooftop Live Music,1,481.55,INR,0,1,poi_1460,2026-08-18T10:00:00+05:30
pcm_9ca8e282,pkg_da371460,poi,poi,poi_a2b2ebb4,2,evening,"Jazz Cellar, Amritsar",1,352.95,INR,0,1,poi_1460,2026-08-18T10:00:00+05:30
pcm_758e0cef,pkg_da371460,transfer,,,2,morning,Airport transfer,1,1476.52,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_92e4bcc2,pkg_da371460,guide,,,3,afternoon,Local guide (half day),1,3553.10,INR,1,1,guide_1460,2026-08-18T10:00:00+05:30
pcm_5e8e606b,pkg_da371460,meal,,,3,afternoon,Dinner at a local kitchen,1,476.39,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_7999ea2e,pkg_da371460,entry_ticket,,,3,morning,Monument entry tickets,1,462.43,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_5a358a01,pkg_45ba1e27,hotel,hotel,htl_b36fd517,1,evening,Garden Vihar Suites,1,2172.78,INR,0,1,hotel_1e27,2026-08-18T10:00:00+05:30
pcm_1d1ddacf,pkg_45ba1e27,poi,poi,poi_d85873d4,1,evening,Ridge Lookout,1,768.32,INR,0,1,poi_1e27,2026-08-18T10:00:00+05:30
pcm_cf42af3d,pkg_45ba1e27,poi,poi,poi_d85873d4,2,evening,Ridge Lookout,1,319.24,INR,0,1,poi_1e27,2026-08-18T10:00:00+05:30
pcm_119283de,pkg_45ba1e27,transfer,,,2,afternoon,Airport transfer,1,1413.25,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_c049ee07,pkg_45ba1e27,guide,,,3,afternoon,Local guide (half day),1,2047.16,INR,1,1,guide_1e27,2026-08-18T10:00:00+05:30
pcm_13f4b6ef,pkg_45ba1e27,meal,,,3,evening,Dinner at a local kitchen,1,1044.35,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_4b660bd6,pkg_45ba1e27,entry_ticket,,,4,overnight,Monument entry tickets,1,331.28,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_73acf158,pkg_3a0c7fc4,hotel,hotel,htl_81469f7e,1,evening,Lake Meadows Inn,1,7987.67,LKR,0,1,hotel_7fc4,2026-08-18T10:00:00+05:30
pcm_fb9c3ad7,pkg_3a0c7fc4,poi,poi,poi_e607799f,1,overnight,Ridge Lookout,1,1898.24,LKR,0,1,poi_7fc4,2026-08-18T10:00:00+05:30
pcm_398af528,pkg_3a0c7fc4,poi,poi,poi_3253659e,2,overnight,Colombo Bird Sanctuary,1,1610.01,LKR,0,1,poi_7fc4,2026-08-18T10:00:00+05:30
pcm_be63a0d1,pkg_3a0c7fc4,transfer,,,2,morning,Airport transfer,1,4602.75,LKR,0,1,,2026-08-18T10:00:00+05:30
pcm_c1155971,pkg_3a0c7fc4,guide,,,3,morning,Local guide (half day),1,10207.26,LKR,1,1,guide_7fc4,2026-08-18T10:00:00+05:30
pcm_0aa37f3c,pkg_3a0c7fc4,meal,,,3,overnight,Dinner at a local kitchen,1,3726.55,LKR,1,0,,2026-08-18T10:00:00+05:30
pcm_f1801cf1,pkg_3a0c7fc4,entry_ticket,,,4,overnight,Monument entry tickets,1,1070.92,LKR,1,0,,2026-08-18T10:00:00+05:30
pcm_489e2bc3,pkg_8490fdc4,hotel,hotel,htl_94be8798,1,overnight,Indigo Regency Inn,1,60.22,QAR,0,1,hotel_fdc4,2026-08-18T10:00:00+05:30
pcm_294c9e15,pkg_8490fdc4,poi,poi,poi_ae2101df,1,overnight,Hot Springs,1,28.24,QAR,0,1,poi_fdc4,2026-08-18T10:00:00+05:30
pcm_3d06d50d,pkg_8490fdc4,poi,poi,poi_f5306b2a,2,morning,Watchtower Terrace,1,20.96,QAR,0,1,poi_fdc4,2026-08-18T10:00:00+05:30
pcm_737bb9c8,pkg_8490fdc4,transfer,,,2,morning,Airport transfer,1,40.05,QAR,0,1,,2026-08-18T10:00:00+05:30
pcm_46128ab7,pkg_8490fdc4,guide,,,3,overnight,Local guide (half day),1,51.13,QAR,1,1,guide_fdc4,2026-08-18T10:00:00+05:30
pcm_ca1a3545,pkg_8490fdc4,meal,,,3,overnight,Dinner at a local kitchen,1,45.92,QAR,1,0,,2026-08-18T10:00:00+05:30
pcm_ec4a9292,pkg_8490fdc4,entry_ticket,,,4,overnight,Monument entry tickets,1,21.42,QAR,1,0,,2026-08-18T10:00:00+05:30
pcm_e3116881,pkg_3ab55321,hotel,hotel,htl_488b1796,1,overnight,Hotel Manor Boutique Stay,1,50.09,SGD,0,1,hotel_5321,2026-08-18T10:00:00+05:30
pcm_ecbc54df,pkg_3ab55321,poi,poi,poi_ab7dc80e,1,morning,Maritime Museum,1,12.08,SGD,0,1,poi_5321,2026-08-18T10:00:00+05:30
pcm_271f0972,pkg_3ab55321,poi,poi,poi_055ec68f,2,morning,Rooftop Live Music,1,6.56,SGD,0,1,poi_5321,2026-08-18T10:00:00+05:30
pcm_75851722,pkg_3ab55321,transfer,,,2,overnight,Airport transfer,1,15.02,SGD,0,1,,2026-08-18T10:00:00+05:30
pcm_c46e3ba5,pkg_3ab55321,guide,,,3,overnight,Local guide (half day),1,35.78,SGD,1,1,guide_5321,2026-08-18T10:00:00+05:30
pcm_f7c02515,pkg_3ab55321,meal,,,3,afternoon,Dinner at a local kitchen,1,17.05,SGD,1,0,,2026-08-18T10:00:00+05:30
pcm_fb674be1,pkg_3ab55321,entry_ticket,,,4,morning,Monument entry tickets,1,3.71,SGD,1,0,,2026-08-18T10:00:00+05:30
pcm_f06a05ee,pkg_58440188,hotel,hotel,htl_9643ee61,1,afternoon,Riverside Mahal Homestay,1,2459.85,INR,0,1,hotel_0188,2026-08-18T10:00:00+05:30
pcm_9bb94de3,pkg_58440188,poi,poi,poi_5aecab7a,1,evening,Maritime Museum,1,673.44,INR,0,1,poi_0188,2026-08-18T10:00:00+05:30
pcm_e9d4a592,pkg_58440188,poi,poi,poi_216c247f,2,evening,Cycling Loop,1,406.65,INR,0,1,poi_0188,2026-08-18T10:00:00+05:30
pcm_22591ccc,pkg_58440188,transfer,,,2,morning,Airport transfer,1,676.03,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_bdd3a83d,pkg_58440188,guide,,,3,overnight,Local guide (half day),1,3564.95,INR,1,1,guide_0188,2026-08-18T10:00:00+05:30
pcm_33ed8d6a,pkg_58440188,meal,,,3,morning,Dinner at a local kitchen,1,407.11,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_cee91788,pkg_58440188,entry_ticket,,,4,overnight,Monument entry tickets,1,447.86,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_832205e2,pkg_23879f6a,hotel,hotel,htl_e3c2d87b,1,overnight,Royal Orchard Heritage,1,1498.61,INR,0,1,hotel_9f6a,2026-08-18T10:00:00+05:30
pcm_d6b2a88b,pkg_23879f6a,poi,poi,poi_856c354e,1,morning,North Beach,1,718.64,INR,0,1,poi_9f6a,2026-08-18T10:00:00+05:30
pcm_d3f981c6,pkg_23879f6a,poi,poi,poi_856c354e,2,overnight,North Beach,1,538.40,INR,0,1,poi_9f6a,2026-08-18T10:00:00+05:30
pcm_81b59b40,pkg_23879f6a,transfer,,,2,morning,Airport transfer,1,1551.33,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_e7a7915c,pkg_23879f6a,guide,,,3,evening,Local guide (half day),1,2610.74,INR,1,1,guide_9f6a,2026-08-18T10:00:00+05:30
pcm_201f6583,pkg_23879f6a,meal,,,3,morning,Dinner at a local kitchen,1,1090.90,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_fd37b6fe,pkg_23879f6a,entry_ticket,,,4,overnight,Monument entry tickets,1,525.28,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_943aeb82,pkg_e86d8944,hotel,hotel,htl_b4eb0f44,1,overnight,Indigo Ghat House Boutique Stay,1,4317.83,INR,0,1,hotel_8944,2026-08-18T10:00:00+05:30
pcm_25781654,pkg_e86d8944,poi,poi,poi_5f6b0929,1,overnight,Jaisalmer Temple,1,451.80,INR,0,1,poi_8944,2026-08-18T10:00:00+05:30
pcm_7fed6396,pkg_e86d8944,poi,poi,poi_6e34d5eb,2,overnight,Chhatri Complex,1,808.79,INR,0,1,poi_8944,2026-08-18T10:00:00+05:30
pcm_b9048df3,pkg_e86d8944,transfer,,,2,afternoon,Airport transfer,1,1018.14,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_2f7378e2,pkg_e86d8944,guide,,,3,afternoon,Local guide (half day),1,1517.51,INR,1,1,guide_8944,2026-08-18T10:00:00+05:30
pcm_6988181e,pkg_e86d8944,meal,,,3,evening,Dinner at a local kitchen,1,1173.44,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_7487cd9c,pkg_e86d8944,entry_ticket,,,4,morning,Monument entry tickets,1,255.88,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_6417a956,pkg_d8d9930a,hotel,hotel,htl_9b015642,1,evening,Palm Retreat Heritage,1,4156.61,INR,0,1,hotel_930a,2026-08-18T10:00:00+05:30
pcm_5f83eea9,pkg_d8d9930a,poi,poi,poi_ea362bca,1,evening,Chennai Lake,1,628.98,INR,0,1,poi_930a,2026-08-18T10:00:00+05:30
pcm_156ac805,pkg_d8d9930a,poi,poi,poi_294cdf8b,2,evening,Ayurveda Centre,1,522.38,INR,0,1,poi_930a,2026-08-18T10:00:00+05:30
pcm_75aa3282,pkg_d8d9930a,transfer,,,2,evening,Airport transfer,1,510.32,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_46f1c547,pkg_d8d9930a,guide,,,3,overnight,Local guide (half day),1,2575.72,INR,1,1,guide_930a,2026-08-18T10:00:00+05:30
pcm_9e930e18,pkg_d8d9930a,meal,,,3,morning,Dinner at a local kitchen,1,1072.83,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_be2b7483,pkg_d8d9930a,entry_ticket,,,4,morning,Monument entry tickets,1,549.00,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_1fe8eddb,pkg_3b037157,hotel,hotel,htl_5cf7dd7d,1,overnight,The Old Verandah & Spa,1,209.09,MYR,0,1,hotel_7157,2026-08-18T10:00:00+05:30
pcm_09b4343a,pkg_3b037157,poi,poi,poi_042b48b8,1,overnight,Zipline Point,1,15.48,MYR,0,1,poi_7157,2026-08-18T10:00:00+05:30
pcm_71d75149,pkg_3b037157,poi,poi,poi_baaea645,2,morning,Great Mosque of Kuala Lumpur,1,16.34,MYR,0,1,poi_7157,2026-08-18T10:00:00+05:30
pcm_44da4360,pkg_3b037157,transfer,,,2,overnight,Airport transfer,1,75.66,MYR,0,1,,2026-08-18T10:00:00+05:30
pcm_359b3072,pkg_3b037157,guide,,,3,overnight,Local guide (half day),1,77.18,MYR,1,1,guide_7157,2026-08-18T10:00:00+05:30
pcm_c3bca600,pkg_3b037157,meal,,,3,afternoon,Dinner at a local kitchen,1,32.25,MYR,1,0,,2026-08-18T10:00:00+05:30
pcm_34a62e13,pkg_3b037157,entry_ticket,,,4,afternoon,Monument entry tickets,1,31.19,MYR,1,0,,2026-08-18T10:00:00+05:30
pcm_fef4da34,pkg_869f8dc3,hotel,hotel,htl_fd99a5e3,1,morning,Amber Bagh Resort,1,2845.96,INR,0,1,hotel_8dc3,2026-08-18T10:00:00+05:30
pcm_7858ba51,pkg_869f8dc3,poi,poi,poi_ee4e06ed,1,overnight,Kochi Street Food Lane,1,500.79,INR,0,1,poi_8dc3,2026-08-18T10:00:00+05:30
pcm_878e5cb4,pkg_869f8dc3,poi,poi,poi_77bff953,2,morning,Night Food Bazaar,1,331.13,INR,0,1,poi_8dc3,2026-08-18T10:00:00+05:30
pcm_0ad1377f,pkg_869f8dc3,transfer,,,2,evening,Airport transfer,1,716.73,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_1dda1646,pkg_869f8dc3,guide,,,3,evening,Local guide (half day),1,2074.61,INR,1,1,guide_8dc3,2026-08-18T10:00:00+05:30
pcm_837d7f21,pkg_869f8dc3,meal,,,3,morning,Dinner at a local kitchen,1,1060.97,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_73c64b07,pkg_869f8dc3,entry_ticket,,,4,evening,Monument entry tickets,1,457.15,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_9973ebf1,pkg_0fd9e3a5,hotel,hotel,htl_f7f9a831,1,morning,Garden Bagh Resort,1,2823.02,INR,0,1,hotel_e3a5,2026-08-18T10:00:00+05:30
pcm_0add8932,pkg_0fd9e3a5,poi,poi,poi_89dfcf7d,1,evening,Kayaking at Gangtok,1,724.21,INR,0,1,poi_e3a5,2026-08-18T10:00:00+05:30
pcm_7060210c,pkg_0fd9e3a5,poi,poi,poi_e0062f3a,2,evening,Night Food Bazaar,1,246.89,INR,0,1,poi_e3a5,2026-08-18T10:00:00+05:30
pcm_3a7a3f5d,pkg_0fd9e3a5,transfer,,,2,morning,Airport transfer,1,1248.80,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_b70ec5e2,pkg_0fd9e3a5,guide,,,3,afternoon,Local guide (half day),1,3881.77,INR,1,1,guide_e3a5,2026-08-18T10:00:00+05:30
pcm_3d9e9be2,pkg_0fd9e3a5,meal,,,3,overnight,Dinner at a local kitchen,1,1156.02,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_8a3e4c7e,pkg_0fd9e3a5,entry_ticket,,,4,overnight,Monument entry tickets,1,421.59,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_95c2a7a1,pkg_2f24169b,hotel,hotel,htl_aceeb75d,1,overnight,Hotel Residency Homestay,1,1694.38,INR,0,1,hotel_169b,2026-08-18T10:00:00+05:30
pcm_42ffbca2,pkg_2f24169b,poi,poi,poi_5a548df2,1,afternoon,Antique Lane,1,516.34,INR,0,1,poi_169b,2026-08-18T10:00:00+05:30
pcm_db342ae7,pkg_2f24169b,poi,poi,poi_e5aee907,2,evening,Ridge Lookout,1,262.59,INR,0,1,poi_169b,2026-08-18T10:00:00+05:30
pcm_362e5b39,pkg_2f24169b,transfer,,,2,overnight,Airport transfer,1,1145.14,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_dfb31e0f,pkg_2f24169b,guide,,,3,evening,Local guide (half day),1,3897.82,INR,1,1,guide_169b,2026-08-18T10:00:00+05:30
pcm_d04f6c3b,pkg_2f24169b,meal,,,3,afternoon,Dinner at a local kitchen,1,727.68,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_71d17848,pkg_2f24169b,entry_ticket,,,4,evening,Monument entry tickets,1,364.57,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_4c11091f,pkg_1b0acd65,hotel,hotel,htl_8dd76814,1,overnight,The Verandah Heritage,1,1361.28,INR,0,1,hotel_cd65,2026-08-18T10:00:00+05:30
pcm_0f8b0ffc,pkg_1b0acd65,poi,poi,poi_a666cab4,1,overnight,Alleppey Bazaar,1,664.16,INR,0,1,poi_cd65,2026-08-18T10:00:00+05:30
pcm_d57da5cb,pkg_1b0acd65,poi,poi,poi_e0c06ade,2,afternoon,Alleppey Lake,1,309.83,INR,0,1,poi_cd65,2026-08-18T10:00:00+05:30
pcm_ec2d0807,pkg_1b0acd65,transfer,,,2,afternoon,Airport transfer,1,1064.74,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_b8394ad2,pkg_1b0acd65,guide,,,3,afternoon,Local guide (half day),1,2490.18,INR,1,1,guide_cd65,2026-08-18T10:00:00+05:30
pcm_15c02a07,pkg_1b0acd65,meal,,,3,evening,Dinner at a local kitchen,1,1204.77,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_c178a4dc,pkg_1b0acd65,entry_ticket,,,3,overnight,Monument entry tickets,1,359.92,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_ed716da5,pkg_f851de67,hotel,hotel,htl_76cb1dd1,1,morning,Villa Haveli Suites,1,1903.16,INR,0,1,hotel_de67,2026-08-18T10:00:00+05:30
pcm_c804b2e3,pkg_f851de67,poi,poi,poi_46ade188,1,evening,Maritime Museum,1,235.36,INR,0,1,poi_de67,2026-08-18T10:00:00+05:30
pcm_ebac8164,pkg_f851de67,poi,poi,poi_41fadb4a,2,morning,Visakhapatnam Stepwell,1,723.69,INR,0,1,poi_de67,2026-08-18T10:00:00+05:30
pcm_20a7a96f,pkg_f851de67,transfer,,,2,evening,Airport transfer,1,1070.81,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_0a2e8226,pkg_f851de67,guide,,,3,morning,Local guide (half day),1,2657.03,INR,1,1,guide_de67,2026-08-18T10:00:00+05:30
pcm_390bfbb2,pkg_f851de67,meal,,,3,overnight,Dinner at a local kitchen,1,741.21,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_59efa86a,pkg_f851de67,entry_ticket,,,3,afternoon,Monument entry tickets,1,194.79,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_1f715309,pkg_e1ea3274,hotel,hotel,htl_fa769a3e,1,evening,The Old Bagh Resort,1,2927.67,INR,0,1,hotel_3274,2026-08-18T10:00:00+05:30
pcm_6ee5b59b,pkg_e1ea3274,poi,poi,poi_ff4e53c7,1,evening,Coffee Roastery Tour,1,604.92,INR,0,1,poi_3274,2026-08-18T10:00:00+05:30
pcm_736569df,pkg_e1ea3274,poi,poi,poi_9c194b8c,2,overnight,Bhuj Fort,1,755.92,INR,0,1,poi_3274,2026-08-18T10:00:00+05:30
pcm_5e6574af,pkg_e1ea3274,transfer,,,2,afternoon,Airport transfer,1,809.94,INR,0,1,,2026-08-18T10:00:00+05:30
pcm_d2866b8a,pkg_e1ea3274,guide,,,3,morning,Local guide (half day),1,2443.48,INR,1,1,guide_3274,2026-08-18T10:00:00+05:30
pcm_1385f810,pkg_e1ea3274,meal,,,3,evening,Dinner at a local kitchen,1,1242.07,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_8714cb55,pkg_e1ea3274,entry_ticket,,,3,overnight,Monument entry tickets,1,277.34,INR,1,0,,2026-08-18T10:00:00+05:30
pcm_a05e832d,pkg_6acc77eb,hotel,hotel,htl_2a2ca88d,1,overnight,Hillview Manor Suites,1,838.31,MVR,0,1,hotel_77eb,2026-08-18T10:00:00+05:30
