history_id,entity_type,entity_id,effective_date,price,currency,baseline_price,demand_index,occupancy_pct,lead_time_factor,seasonality_factor,event_factor,competitor_factor,bound_clamped,explanation,computed_at
phs_e455b26c,room_type,rmt_ca391f47,2026-07-24,3579.98,BTN,3313.88,0.846,45.25,1.104,0.79,1.22,0.948,0,demand 0.85 x lead 1.10 x season 0.79 x event 1.22 x competitor 0.95,2026-07-24T03:00:00+05:30
phs_58ca793b,room_type,rmt_ca391f47,2026-07-25,4264.96,BTN,3313.88,1.179,66.1,1.051,0.794,1,1.039,0,demand 1.18 x lead 1.05 x season 0.79 x event 1.00 x competitor 1.04,2026-07-25T03:00:00+05:30
phs_9d09b56c,room_type,rmt_ca391f47,2026-07-26,3398.72,BTN,3313.88,0.992,58.82,1.016,0.797,1,1.018,0,demand 0.99 x lead 1.02 x season 0.80 x event 1.00 x competitor 1.02,2026-07-26T03:00:00+05:30
phs_67941f78,room_type,rmt_ca391f47,2026-07-27,2815.47,BTN,3313.88,0.711,49.7,1.152,0.801,1,1.037,0,demand 0.71 x lead 1.15 x season 0.80 x event 1.00 x competitor 1.04,2026-07-27T03:00:00+05:30
phs_82f77e4a,room_type,rmt_ca391f47,2026-07-28,3379.83,BTN,3313.88,0.854,51.84,1.139,0.805,1,1.049,0,demand 0.85 x lead 1.14 x season 0.81 x event 1.00 x competitor 1.05,2026-07-28T03:00:00+05:30
phs_e5b0a2de,room_type,rmt_ca391f47,2026-07-29,3165.09,BTN,3313.88,0.949,66.94,0.998,0.809,1,1.008,0,demand 0.95 x lead 1.00 x season 0.81 x event 1.00 x competitor 1.01,2026-07-29T03:00:00+05:30
phs_b4c4dadc,room_type,rmt_ca391f47,2026-07-30,3392.42,BTN,3313.88,0.877,51.71,1.157,0.813,1,1.009,0,demand 0.88 x lead 1.16 x season 0.81 x event 1.00 x competitor 1.01,2026-07-30T03:00:00+05:30
phs_3ffe3ec1,room_type,rmt_ca391f47,2026-07-31,3044.79,BTN,3313.88,0.897,54.93,1.055,0.817,1,0.971,0,demand 0.90 x lead 1.05 x season 0.82 x event 1.00 x competitor 0.97,2026-07-31T03:00:00+05:30
phs_fc478755,room_type,rmt_ca391f47,2026-08-01,2485.41,BTN,3313.88,0.563,32.4,1.112,0.821,1,1.029,1,demand 0.56 x lead 1.11 x season 0.82 x event 1.00 x competitor 1.03 (clamped to bound),2026-08-01T03:00:00+05:30
phs_f04ab146,room_type,rmt_ca391f47,2026-08-02,3595.56,BTN,3313.88,0.935,52.72,1.088,0.826,1,1.067,0,demand 0.93 x lead 1.09 x season 0.83 x event 1.00 x competitor 1.07,2026-08-02T03:00:00+05:30
phs_dd658d7c,room_type,rmt_ca391f47,2026-08-03,2568.59,BTN,3313.88,0.822,61.71,0.984,0.83,1,0.958,0,demand 0.82 x lead 0.98 x season 0.83 x event 1.00 x competitor 0.96,2026-08-03T03:00:00+05:30
phs_4715de02,room_type,rmt_ca391f47,2026-08-04,2648.12,BTN,3313.88,0.673,35.34,1.148,0.834,1,1.034,0,demand 0.67 x lead 1.15 x season 0.83 x event 1.00 x competitor 1.03,2026-08-04T03:00:00+05:30
phs_68f918b6,room_type,rmt_ca391f47,2026-08-05,3737.39,BTN,3313.88,0.99,72.52,1.136,0.838,1,1.003,0,demand 0.99 x lead 1.14 x season 0.84 x event 1.00 x competitor 1.00,2026-08-05T03:00:00+05:30
phs_08387912,room_type,rmt_ca391f47,2026-08-06,2485.41,BTN,3313.88,0.522,38.28,1.065,0.843,1,1.069,1,demand 0.52 x lead 1.06 x season 0.84 x event 1.00 x competitor 1.07 (clamped to bound),2026-08-06T03:00:00+05:30
phs_5e884e02,room_type,rmt_ca391f47,2026-08-07,3632.01,BTN,3313.88,1.012,56.71,1.104,0.847,1,0.981,0,demand 1.01 x lead 1.10 x season 0.85 x event 1.00 x competitor 0.98,2026-08-07T03:00:00+05:30
phs_a25e3704,room_type,rmt_ca391f47,2026-08-08,3121.34,BTN,3313.88,0.717,55.49,1.07,0.852,1.22,1.007,0,demand 0.72 x lead 1.07 x season 0.85 x event 1.22 x competitor 1.01,2026-08-08T03:00:00+05:30
phs_1c90fe03,room_type,rmt_ca391f47,2026-08-09,2830.05,BTN,3313.88,0.839,60.85,0.976,0.856,1,1.043,0,demand 0.84 x lead 0.98 x season 0.86 x event 1.00 x competitor 1.04,2026-08-09T03:00:00+05:30
phs_a943ffce,room_type,rmt_ca391f47,2026-08-10,3699.95,BTN,3313.88,1.046,65.84,1.131,0.861,1,0.944,0,demand 1.05 x lead 1.13 x season 0.86 x event 1.00 x competitor 0.94,2026-08-10T03:00:00+05:30
phs_854833e2,room_type,rmt_ca391f47,2026-08-11,2872.47,BTN,3313.88,0.792,60.52,1.155,0.865,1,0.948,0,demand 0.79 x lead 1.16 x season 0.87 x event 1.00 x competitor 0.95,2026-08-11T03:00:00+05:30
phs_a9743ad1,room_type,rmt_ca391f47,2026-08-12,2485.41,BTN,3313.88,0.727,53.5,1.004,0.87,1,1.022,1,demand 0.73 x lead 1.00 x season 0.87 x event 1.00 x competitor 1.02 (clamped to bound),2026-08-12T03:00:00+05:30
phs_a469a8a3,room_type,rmt_ca391f47,2026-08-13,3911.70,BTN,3313.88,1.048,70.9,1.073,0.875,1,1.05,0,demand 1.05 x lead 1.07 x season 0.87 x event 1.00 x competitor 1.05,2026-08-13T03:00:00+05:30
phs_8f844180,room_type,rmt_ca391f47,2026-08-14,2485.41,BTN,3313.88,0.495,41.84,1.011,0.879,1,1.058,1,demand 0.49 x lead 1.01 x season 0.88 x event 1.00 x competitor 1.06 (clamped to bound),2026-08-14T03:00:00+05:30
phs_fbe12ed9,room_type,rmt_ca391f47,2026-08-15,2822.43,BTN,3313.88,0.78,51.13,1.156,0.884,1,0.945,0,demand 0.78 x lead 1.16 x season 0.88 x event 1.00 x competitor 0.94,2026-08-15T03:00:00+05:30
phs_47e3b007,room_type,rmt_ca391f47,2026-08-16,4366.04,BTN,3313.88,1.186,81.7,1.142,0.889,1,0.973,0,demand 1.19 x lead 1.14 x season 0.89 x event 1.00 x competitor 0.97,2026-08-16T03:00:00+05:30
phs_0b8c073a,room_type,rmt_ca391f47,2026-08-17,4280.87,BTN,3313.88,1.238,85.54,1.104,0.894,1,0.945,0,demand 1.24 x lead 1.10 x season 0.89 x event 1.00 x competitor 0.94,2026-08-17T03:00:00+05:30
phs_3fa85dc3,flight_fare,far_9a65a1d0,2026-07-14,7048.59,INR,8093.45,0.831,55.68,1.01,0.756,1,1.038,0,demand 0.83 x lead 1.01 x season 0.76 x event 1.00 x competitor 1.04,2026-07-14T03:00:00+05:30
phs_98ac107c,flight_fare,far_9a65a1d0,2026-07-15,6544.36,INR,8093.45,0.703,33.19,1.123,0.759,1,1.025,0,demand 0.70 x lead 1.12 x season 0.76 x event 1.00 x competitor 1.02,2026-07-15T03:00:00+05:30
phs_328c8cd8,flight_fare,far_9a65a1d0,2026-07-16,6070.09,INR,8093.45,0.631,48.11,1.034,0.762,1,0.989,1,demand 0.63 x lead 1.03 x season 0.76 x event 1.00 x competitor 0.99 (clamped to bound),2026-07-16T03:00:00+05:30
phs_7a76d9e4,flight_fare,far_9a65a1d0,2026-07-17,6070.09,INR,8093.45,0.374,13.52,1.066,0.766,1,0.949,1,demand 0.37 x lead 1.07 x season 0.77 x event 1.00 x competitor 0.95 (clamped to bound),2026-07-17T03:00:00+05:30
phs_dbe8a016,flight_fare,far_9a65a1d0,2026-07-18,6070.09,INR,8093.45,0.565,38.91,1.083,0.769,1,1.004,1,demand 0.57 x lead 1.08 x season 0.77 x event 1.00 x competitor 1.00 (clamped to bound),2026-07-18T03:00:00+05:30
phs_c10b2a7f,flight_fare,far_9a65a1d0,2026-07-19,7263.87,INR,8093.45,0.855,57.04,1.043,0.772,1,1.007,0,demand 0.85 x lead 1.04 x season 0.77 x event 1.00 x competitor 1.01,2026-07-19T03:00:00+05:30
phs_5cd872d0,flight_fare,far_9a65a1d0,2026-07-20,6070.09,INR,8093.45,0.561,31.42,1.021,0.776,1,0.948,1,demand 0.56 x lead 1.02 x season 0.78 x event 1.00 x competitor 0.95 (clamped to bound),2026-07-20T03:00:00+05:30
phs_2e945280,flight_fare,far_9a65a1d0,2026-07-21,7864.41,INR,8093.45,0.819,44.97,1.146,0.779,1,1.035,0,demand 0.82 x lead 1.15 x season 0.78 x event 1.00 x competitor 1.03,2026-07-21T03:00:00+05:30
phs_b0dcab14,flight_fare,far_9a65a1d0,2026-07-22,6070.09,INR,8093.45,0.541,36.31,1.09,0.783,1,1.007,1,demand 0.54 x lead 1.09 x season 0.78 x event 1.00 x competitor 1.01 (clamped to bound),2026-07-22T03:00:00+05:30
phs_a33c8801,flight_fare,far_9a65a1d0,2026-07-23,8825.91,INR,8093.45,0.815,40.52,1.079,0.786,1.22,1.016,0,demand 0.82 x lead 1.08 x season 0.79 x event 1.22 x competitor 1.02,2026-07-23T03:00:00+05:30
phs_aed37c01,flight_fare,far_9a65a1d0,2026-07-24,6141.31,INR,8093.45,0.764,53.95,0.982,0.79,1,1.012,0,demand 0.76 x lead 0.98 x season 0.79 x event 1.00 x competitor 1.01,2026-07-24T03:00:00+05:30
phs_5947fe9e,flight_fare,far_9a65a1d0,2026-07-25,6889.14,INR,8093.45,0.772,59.33,1.083,0.794,1,1.018,0,demand 0.77 x lead 1.08 x season 0.79 x event 1.00 x competitor 1.02,2026-07-25T03:00:00+05:30
phs_a5402aba,flight_fare,far_9a65a1d0,2026-07-26,6660.10,INR,8093.45,0.795,45.88,1.078,0.797,1,0.96,0,demand 0.80 x lead 1.08 x season 0.80 x event 1.00 x competitor 0.96,2026-07-26T03:00:00+05:30
phs_0d7ecad7,flight_fare,far_9a65a1d0,2026-07-27,6070.09,INR,8093.45,0.509,35.35,1.147,0.801,1,1.063,1,demand 0.51 x lead 1.15 x season 0.80 x event 1.00 x competitor 1.06 (clamped to bound),2026-07-27T03:00:00+05:30
phs_a8723d83,flight_fare,far_9a65a1d0,2026-07-28,6070.09,INR,8093.45,0.581,30.82,1.01,0.805,1,0.96,1,demand 0.58 x lead 1.01 x season 0.81 x event 1.00 x competitor 0.96 (clamped to bound),2026-07-28T03:00:00+05:30
phs_f086e72d,flight_fare,far_9a65a1d0,2026-07-29,9267.00,INR,8093.45,1.047,72.76,1.124,0.809,1,0.973,0,demand 1.05 x lead 1.12 x season 0.81 x event 1.00 x competitor 0.97,2026-07-29T03:00:00+05:30
phs_8e1dbab3,flight_fare,far_9a65a1d0,2026-07-30,6095.99,INR,8093.45,0.79,55.47,0.974,0.813,1,0.979,0,demand 0.79 x lead 0.97 x season 0.81 x event 1.00 x competitor 0.98,2026-07-30T03:00:00+05:30
phs_f00de980,flight_fare,far_9a65a1d0,2026-07-31,6070.09,INR,8093.45,0.644,28.47,1.093,0.817,1,1.043,1,demand 0.64 x lead 1.09 x season 0.82 x event 1.00 x competitor 1.04 (clamped to bound),2026-07-31T03:00:00+05:30
phs_7f387d15,flight_fare,far_9a65a1d0,2026-08-01,6070.09,INR,8093.45,0.633,38.71,1.059,0.821,1,0.959,1,demand 0.63 x lead 1.06 x season 0.82 x event 1.00 x competitor 0.96 (clamped to bound),2026-08-01T03:00:00+05:30
phs_374ca971,flight_fare,far_9a65a1d0,2026-08-02,7356.14,INR,8093.45,0.841,62.07,1.114,0.826,1,0.97,0,demand 0.84 x lead 1.11 x season 0.83 x event 1.00 x competitor 0.97,2026-08-02T03:00:00+05:30
phs_29fdbcf0,flight_fare,far_9a65a1d0,2026-08-03,8005.23,INR,8093.45,0.88,56.21,0.976,0.83,1.22,0.944,0,demand 0.88 x lead 0.98 x season 0.83 x event 1.22 x competitor 0.94,2026-08-03T03:00:00+05:30
phs_5adf389b,flight_fare,far_9a65a1d0,2026-08-04,6070.09,INR,8093.45,0.617,45.47,0.99,0.834,1.22,0.975,1,demand 0.62 x lead 0.99 x season 0.83 x event 1.22 x competitor 0.97 (clamped to bound),2026-08-04T03:00:00+05:30
phs_ac0f35cc,flight_fare,far_9a65a1d0,2026-08-05,6336.36,INR,8093.45,0.756,52.42,0.983,0.838,1,1.054,0,demand 0.76 x lead 0.98 x season 0.84 x event 1.00 x competitor 1.05,2026-08-05T03:00:00+05:30
phs_7037d97c,flight_fare,far_9a65a1d0,2026-08-06,6156.69,INR,8093.45,0.688,36.84,1.03,0.843,1,1.074,0,demand 0.69 x lead 1.03 x season 0.84 x event 1.00 x competitor 1.07,2026-08-06T03:00:00+05:30
phs_c72d7a4a,flight_fare,far_9a65a1d0,2026-08-07,6832.49,INR,8093.45,0.756,46.66,1.139,0.847,1,0.98,0,demand 0.76 x lead 1.14 x season 0.85 x event 1.00 x competitor 0.98,2026-08-07T03:00:00+05:30
phs_cedaf7e7,flight_fare,far_9a65a1d0,2026-08-08,6070.09,INR,8093.45,0.763,54.98,0.964,0.852,1,0.998,1,demand 0.76 x lead 0.96 x season 0.85 x event 1.00 x competitor 1.00 (clamped to bound),2026-08-08T03:00:00+05:30
phs_2ea1ba6d,flight_fare,far_9a65a1d0,2026-08-09,10319.96,INR,8093.45,1.049,55.41,1.163,0.856,1,1.045,0,demand 1.05 x lead 1.16 x season 0.86 x event 1.00 x competitor 1.04,2026-08-09T03:00:00+05:30
phs_801d1489,flight_fare,far_9a65a1d0,2026-08-10,7156.23,INR,8093.45,0.866,52.12,1.015,0.861,1,1.006,0,demand 0.87 x lead 1.01 x season 0.86 x event 1.00 x competitor 1.01,2026-08-10T03:00:00+05:30
phs_8f3ea53b,flight_fare,far_9a65a1d0,2026-08-11,8173.58,INR,8093.45,0.763,45.68,1.053,0.865,1.22,1.03,0,demand 0.76 x lead 1.05 x season 0.87 x event 1.22 x competitor 1.03,2026-08-11T03:00:00+05:30
phs_7680d4ea,flight_fare,far_9a65a1d0,2026-08-12,6085.47,INR,8093.45,0.636,50.54,1.031,0.87,1.22,0.94,0,demand 0.64 x lead 1.03 x season 0.87 x event 1.22 x competitor 0.94,2026-08-12T03:00:00+05:30
phs_e0d5ce02,flight_fare,far_9a65a1d0,2026-08-13,7009.74,INR,8093.45,0.829,52.87,1.037,0.875,1,1.007,0,demand 0.83 x lead 1.04 x season 0.87 x event 1.00 x competitor 1.01,2026-08-13T03:00:00+05:30
phs_7885f5ae,flight_fare,far_9a65a1d0,2026-08-14,7403.89,INR,8093.45,0.853,63.51,1.019,0.879,1,1.052,0,demand 0.85 x lead 1.02 x season 0.88 x event 1.00 x competitor 1.05,2026-08-14T03:00:00+05:30
phs_384c02c9,flight_fare,far_9a65a1d0,2026-08-15,8800.01,INR,8093.45,0.998,50.82,1.045,0.884,1,1.043,0,demand 1.00 x lead 1.04 x season 0.88 x event 1.00 x competitor 1.04,2026-08-15T03:00:00+05:30
phs_9e1b1271,flight_fare,far_9a65a1d0,2026-08-16,10411.41,INR,8093.45,1.123,64.61,1.129,0.889,1,1.015,0,demand 1.12 x lead 1.13 x season 0.89 x event 1.00 x competitor 1.01,2026-08-16T03:00:00+05:30
phs_d75906a1,flight_fare,far_9a65a1d0,2026-08-17,6070.09,INR,8093.45,0.292,8.81,1.028,0.894,1,1.045,1,demand 0.29 x lead 1.03 x season 0.89 x event 1.00 x competitor 1.04 (clamped to bound),2026-08-17T03:00:00+05:30
phs_0e0ec31b,flight_fare,far_5f8739a1,2026-07-14,8765201.25,IDR,11686935.00,0.445,21.99,1.155,0.756,1,1.027,1,demand 0.45 x lead 1.16 x season 0.76 x event 1.00 x competitor 1.03 (clamped to bound),2026-07-14T03:00:00+05:30
phs_bd94900a,flight_fare,far_5f8739a1,2026-07-15,8765201.25,IDR,11686935.00,0.762,47.78,0.981,0.759,1,0.96,1,demand 0.76 x lead 0.98 x season 0.76 x event 1.00 x competitor 0.96 (clamped to bound),2026-07-15T03:00:00+05:30
phs_6c81b843,flight_fare,far_5f8739a1,2026-07-16,13007558.66,IDR,11686935.00,0.95,66.61,1.088,0.762,1,1.077,0,demand 0.95 x lead 1.09 x season 0.76 x event 1.00 x competitor 1.08,2026-07-16T03:00:00+05:30
phs_2b97df8f,flight_fare,far_5f8739a1,2026-07-17,8765201.25,IDR,11686935.00,0.395,35.8,0.983,0.766,1,1.048,1,demand 0.39 x lead 0.98 x season 0.77 x event 1.00 x competitor 1.05 (clamped to bound),2026-07-17T03:00:00+05:30
phs_cce5a7d2,flight_fare,far_5f8739a1,2026-07-18,14484787.24,IDR,11686935.00,1.074,64.64,0.963,0.769,1.22,0.982,0,demand 1.07 x lead 0.96 x season 0.77 x event 1.22 x competitor 0.98,2026-07-18T03:00:00+05:30
phs_47e4a035,flight_fare,far_5f8739a1,2026-07-19,8765201.25,IDR,11686935.00,0.53,38.93,1.077,0.772,1.22,0.995,1,demand 0.53 x lead 1.08 x season 0.77 x event 1.22 x competitor 0.99 (clamped to bound),2026-07-19T03:00:00+05:30
phs_860d9919,flight_fare,far_5f8739a1,2026-07-20,9804169.77,IDR,11686935.00,0.784,53.53,0.996,0.776,1,1.074,0,demand 0.78 x lead 1.00 x season 0.78 x event 1.00 x competitor 1.07,2026-07-20T03:00:00+05:30
phs_16a513bc,flight_fare,far_5f8739a1,2026-07-21,8765201.25,IDR,11686935.00,0.534,41.64,0.981,0.779,1,1.074,1,demand 0.53 x lead 0.98 x season 0.78 x event 1.00 x competitor 1.07 (clamped to bound),2026-07-21T03:00:00+05:30
phs_20a8dd65,flight_fare,far_5f8739a1,2026-07-22,10155946.52,IDR,11686935.00,0.881,47.53,1.042,0.783,1,0.947,0,demand 0.88 x lead 1.04 x season 0.78 x event 1.00 x competitor 0.95,2026-07-22T03:00:00+05:30
phs_76b0d718,flight_fare,far_5f8739a1,2026-07-23,8765201.25,IDR,11686935.00,0.735,46.56,0.972,0.786,1,0.941,1,demand 0.74 x lead 0.97 x season 0.79 x event 1.00 x competitor 0.94 (clamped to bound),2026-07-23T03:00:00+05:30
phs_36f0846a,flight_fare,far_5f8739a1,2026-07-24,10546290.14,IDR,11686935.00,0.893,66.97,1.054,0.79,1,0.959,0,demand 0.89 x lead 1.05 x season 0.79 x event 1.00 x competitor 0.96,2026-07-24T03:00:00+05:30
phs_e85f79f0,flight_fare,far_5f8739a1,2026-07-25,9122821.46,IDR,11686935.00,0.76,51.07,0.986,0.794,1,1.042,0,demand 0.76 x lead 0.99 x season 0.79 x event 1.00 x competitor 1.04,2026-07-25T03:00:00+05:30
phs_f452701c,flight_fare,far_5f8739a1,2026-07-26,9339029.76,IDR,11686935.00,0.751,52.87,1.085,0.797,1,0.981,0,demand 0.75 x lead 1.08 x season 0.80 x event 1.00 x competitor 0.98,2026-07-26T03:00:00+05:30
phs_3ab4eeb7,flight_fare,far_5f8739a1,2026-07-27,11921842.39,IDR,11686935.00,0.877,51.16,1.078,0.801,1,1.079,0,demand 0.88 x lead 1.08 x season 0.80 x event 1.00 x competitor 1.08,2026-07-27T03:00:00+05:30
phs_07b6a52b,flight_fare,far_5f8739a1,2026-07-28,8907781.86,IDR,11686935.00,0.737,48.86,1.009,0.805,1,1.025,0,demand 0.74 x lead 1.01 x season 0.81 x event 1.00 x competitor 1.02,2026-07-28T03:00:00+05:30
phs_c71bbd74,flight_fare,far_5f8739a1,2026-07-29,11145829.91,IDR,11686935.00,0.861,45.54,1.028,0.809,1,1.078,0,demand 0.86 x lead 1.03 x season 0.81 x event 1.00 x competitor 1.08,2026-07-29T03:00:00+05:30
phs_3ea30842,flight_fare,far_5f8739a1,2026-07-30,9746903.79,IDR,11686935.00,0.642,36.82,0.991,0.813,1.22,1.075,0,demand 0.64 x lead 0.99 x season 0.81 x event 1.22 x competitor 1.07,2026-07-30T03:00:00+05:30
phs_afcbf857,flight_fare,far_5f8739a1,2026-07-31,8765201.25,IDR,11686935.00,0.721,34.2,0.968,0.817,1,1.005,1,demand 0.72 x lead 0.97 x season 0.82 x event 1.00 x competitor 1.00 (clamped to bound),2026-07-31T03:00:00+05:30
phs_99119ab7,flight_fare,far_5f8739a1,2026-08-01,8765201.25,IDR,11686935.00,0.629,46.35,1.084,0.821,1,1.044,1,demand 0.63 x lead 1.08 x season 0.82 x event 1.00 x competitor 1.04 (clamped to bound),2026-08-01T03:00:00+05:30
phs_b8e3ca4e,flight_fare,far_5f8739a1,2026-08-02,8765201.25,IDR,11686935.00,0.44,25.27,1.155,0.826,1,0.998,1,demand 0.44 x lead 1.16 x season 0.83 x event 1.00 x competitor 1.00 (clamped to bound),2026-08-02T03:00:00+05:30
phs_2fce9de6,flight_fare,far_5f8739a1,2026-08-03,14865781.32,IDR,11686935.00,1.143,80.76,1.063,0.83,1,1.047,0,demand 1.14 x lead 1.06 x season 0.83 x event 1.00 x competitor 1.05,2026-08-03T03:00:00+05:30
phs_f620e609,flight_fare,far_5f8739a1,2026-08-04,12106495.97,IDR,11686935.00,0.785,55.73,1.075,0.834,1.22,1.006,0,demand 0.79 x lead 1.07 x season 0.83 x event 1.22 x competitor 1.01,2026-08-04T03:00:00+05:30
phs_f242a63e,flight_fare,far_5f8739a1,2026-08-05,10996237.14,IDR,11686935.00,0.769,51.31,1.154,0.838,1,1.06,0,demand 0.77 x lead 1.15 x season 0.84 x event 1.00 x competitor 1.06,2026-08-05T03:00:00+05:30
phs_4f53ab2a,flight_fare,far_5f8739a1,2026-08-06,11010261.46,IDR,11686935.00,0.765,42.35,1.155,0.843,1,1.066,0,demand 0.77 x lead 1.16 x season 0.84 x event 1.00 x competitor 1.07,2026-08-06T03:00:00+05:30
phs_e744e7d4,flight_fare,far_5f8739a1,2026-08-07,8765201.25,IDR,11686935.00,0.628,49.43,1.004,0.847,1,0.963,1,demand 0.63 x lead 1.00 x season 0.85 x event 1.00 x competitor 0.96 (clamped to bound),2026-08-07T03:00:00+05:30
phs_aa731463,flight_fare,far_5f8739a1,2026-08-08,8765201.25,IDR,11686935.00,0.624,43.73,0.98,0.852,1,1.047,1,demand 0.62 x lead 0.98 x season 0.85 x event 1.00 x competitor 1.05 (clamped to bound),2026-08-08T03:00:00+05:30
phs_aecf55aa,flight_fare,far_5f8739a1,2026-08-09,10887548.65,IDR,11686935.00,0.834,57.74,1.143,0.856,1,0.977,0,demand 0.83 x lead 1.14 x season 0.86 x event 1.00 x competitor 0.98,2026-08-09T03:00:00+05:30
phs_ea5e7c81,flight_fare,far_5f8739a1,2026-08-10,12514370.00,IDR,11686935.00,1.059,76.4,1.036,0.861,1,0.976,0,demand 1.06 x lead 1.04 x season 0.86 x event 1.00 x competitor 0.98,2026-08-10T03:00:00+05:30
phs_efa30ec7,flight_fare,far_5f8739a1,2026-08-11,12155581.09,IDR,11686935.00,0.88,45.04,1.014,0.865,1.22,0.956,0,demand 0.88 x lead 1.01 x season 0.87 x event 1.22 x competitor 0.96,2026-08-11T03:00:00+05:30
phs_396ce572,flight_fare,far_5f8739a1,2026-08-12,12534237.79,IDR,11686935.00,0.986,53.12,1.094,0.87,1,0.994,0,demand 0.99 x lead 1.09 x season 0.87 x event 1.00 x competitor 0.99,2026-08-12T03:00:00+05:30
phs_cf906265,flight_fare,far_5f8739a1,2026-08-13,8765201.25,IDR,11686935.00,0.663,34.04,1.044,0.875,1,1.05,1,demand 0.66 x lead 1.04 x season 0.87 x event 1.00 x competitor 1.05 (clamped to bound),2026-08-13T03:00:00+05:30
phs_3bebd0ea,flight_fare,far_5f8739a1,2026-08-14,8765201.25,IDR,11686935.00,0.683,35.13,1.033,0.879,1,1.011,1,demand 0.68 x lead 1.03 x season 0.88 x event 1.00 x competitor 1.01 (clamped to bound),2026-08-14T03:00:00+05:30
phs_2b88ec4b,flight_fare,far_5f8739a1,2026-08-15,11065190.06,IDR,11686935.00,0.942,64.13,0.995,0.884,1,1.01,0,demand 0.94 x lead 0.99 x season 0.88 x event 1.00 x competitor 1.01,2026-08-15T03:00:00+05:30
phs_bdcc3f61,flight_fare,far_5f8739a1,2026-08-16,8765201.25,IDR,11686935.00,0.698,39.97,1.046,0.889,1,1.021,1,demand 0.70 x lead 1.05 x season 0.89 x event 1.00 x competitor 1.02 (clamped to bound),2026-08-16T03:00:00+05:30
phs_26153122,flight_fare,far_5f8739a1,2026-08-17,9942075.60,IDR,11686935.00,0.796,52.21,1.026,0.894,1,1.042,0,demand 0.80 x lead 1.03 x season 0.89 x event 1.00 x competitor 1.04,2026-08-17T03:00:00+05:30
phs_d4c4c216,room_type,rmt_2698e098,2026-07-14,12150.00,INR,14633.27,0.732,56.83,1.158,0.756,1,0.979,0,demand 0.73 x lead 1.16 x season 0.76 x event 1.00 x competitor 0.98,2026-07-14T03:00:00+05:30
phs_f32b37a0,room_type,rmt_2698e098,2026-07-15,18410.12,INR,14633.27,1.11,66.68,1.172,0.759,1,0.967,0,demand 1.11 x lead 1.17 x season 0.76 x event 1.00 x competitor 0.97,2026-07-15T03:00:00+05:30
phs_28e52db5,room_type,rmt_2698e098,2026-07-16,17461.88,INR,14633.27,0.984,68.45,0.984,0.762,1.22,1.01,0,demand 0.98 x lead 0.98 x season 0.76 x event 1.22 x competitor 1.01,2026-07-16T03:00:00+05:30
