media_id,hotel_id,room_type_id,media_role,file_path,alt_text,width_px,height_px,sort_order,updated_at
hmd_d10c4e16,htl_a4a12699,,lobby,media/hotels/htl_a4a12699/lobby.jpg,"Lobby view at Riverside Kothi Inn, Jaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_5afa0b07,htl_a4a12699,rmt_4da4065d,room,media/hotels/htl_a4a12699/room.jpg,"Room view at Riverside Kothi Inn, Jaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_6d2b4bf9,htl_a4a12699,,dining,media/hotels/htl_a4a12699/dining.jpg,"Dining view at Riverside Kothi Inn, Jaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_26b22233,htl_aacfaa8f,,hero,media/hotels/htl_aacfaa8f/hero.jpg,"Hero view at Lake Bungalow by the Lake, Udaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_a3196efe,htl_aacfaa8f,,exterior,media/hotels/htl_aacfaa8f/exterior.jpg,"Exterior view at Lake Bungalow by the Lake, Udaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_806bb07b,htl_aacfaa8f,,lobby,media/hotels/htl_aacfaa8f/lobby.jpg,"Lobby view at Lake Bungalow by the Lake, Udaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_a1938ced,htl_aacfaa8f,rmt_69fb5df6,room,media/hotels/htl_aacfaa8f/room.jpg,"Room view at Lake Bungalow by the Lake, Udaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_8134d829,htl_aacfaa8f,,dining,media/hotels/htl_aacfaa8f/dining.jpg,"Dining view at Lake Bungalow by the Lake, Udaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_ed2c67a7,htl_82a0debc,,hero,media/hotels/htl_82a0debc/hero.jpg,"Hero view at Garden Kothi & Spa, Udaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_0efe4d62,htl_82a0debc,,exterior,media/hotels/htl_82a0debc/exterior.jpg,"Exterior view at Garden Kothi & Spa, Udaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_26eafa76,htl_82a0debc,,lobby,media/hotels/htl_82a0debc/lobby.jpg,"Lobby view at Garden Kothi & Spa, Udaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_3f9fb7ff,htl_82a0debc,rmt_498722f7,room,media/hotels/htl_82a0debc/room.jpg,"Room view at Garden Kothi & Spa, Udaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_1196e9a4,htl_82a0debc,,dining,media/hotels/htl_82a0debc/dining.jpg,"Dining view at Garden Kothi & Spa, Udaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_b5a52062,htl_e64a06ef,,hero,media/hotels/htl_e64a06ef/hero.jpg,"Hero view at Riverside Sanctuary Inn, Udaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_1e7b0816,htl_e64a06ef,,exterior,media/hotels/htl_e64a06ef/exterior.jpg,"Exterior view at Riverside Sanctuary Inn, Udaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_017dfbde,htl_e64a06ef,,lobby,media/hotels/htl_e64a06ef/lobby.jpg,"Lobby view at Riverside Sanctuary Inn, Udaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_ca312823,htl_e64a06ef,rmt_4d20e260,room,media/hotels/htl_e64a06ef/room.jpg,"Room view at Riverside Sanctuary Inn, Udaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_40392943,htl_e64a06ef,,dining,media/hotels/htl_e64a06ef/dining.jpg,"Dining view at Riverside Sanctuary Inn, Udaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_e6141085,htl_f4edf35d,,hero,media/hotels/htl_f4edf35d/hero.jpg,"Hero view at Indigo Orchard Inn, Udaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_823ae799,htl_f4edf35d,,exterior,media/hotels/htl_f4edf35d/exterior.jpg,"Exterior view at Indigo Orchard Inn, Udaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_c58a853e,htl_f4edf35d,,lobby,media/hotels/htl_f4edf35d/lobby.jpg,"Lobby view at Indigo Orchard Inn, Udaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_354c9f3f,htl_f4edf35d,rmt_8203d582,room,media/hotels/htl_f4edf35d/room.jpg,"Room view at Indigo Orchard Inn, Udaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_60a90760,htl_f4edf35d,,dining,media/hotels/htl_f4edf35d/dining.jpg,"Dining view at Indigo Orchard Inn, Udaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_4f231e8b,htl_6c7be3f3,,hero,media/hotels/htl_6c7be3f3/hero.jpg,"Hero view at Casa Manor Inn, Udaipur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_9ee9c2e1,htl_6c7be3f3,,exterior,media/hotels/htl_6c7be3f3/exterior.jpg,"Exterior view at Casa Manor Inn, Udaipur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_795ea9a4,htl_6c7be3f3,,lobby,media/hotels/htl_6c7be3f3/lobby.jpg,"Lobby view at Casa Manor Inn, Udaipur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_db99ec3f,htl_6c7be3f3,rmt_36ac3085,room,media/hotels/htl_6c7be3f3/room.jpg,"Room view at Casa Manor Inn, Udaipur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_46009656,htl_6c7be3f3,,dining,media/hotels/htl_6c7be3f3/dining.jpg,"Dining view at Casa Manor Inn, Udaipur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_74302eb1,htl_9191e906,,hero,media/hotels/htl_9191e906/hero.jpg,"Hero view at Grand Regency Inn, Jodhpur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_269c64fe,htl_9191e906,,exterior,media/hotels/htl_9191e906/exterior.jpg,"Exterior view at Grand Regency Inn, Jodhpur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_cce955ad,htl_9191e906,,lobby,media/hotels/htl_9191e906/lobby.jpg,"Lobby view at Grand Regency Inn, Jodhpur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_317154b9,htl_9191e906,rmt_f3f78d57,room,media/hotels/htl_9191e906/room.jpg,"Room view at Grand Regency Inn, Jodhpur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_ee73147d,htl_9191e906,,dining,media/hotels/htl_9191e906/dining.jpg,"Dining view at Grand Regency Inn, Jodhpur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_7bf02fec,htl_16ca75ac,,hero,media/hotels/htl_16ca75ac/hero.jpg,"Hero view at Garden Palms Boutique Stay, Jodhpur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_2dc60eb4,htl_16ca75ac,,exterior,media/hotels/htl_16ca75ac/exterior.jpg,"Exterior view at Garden Palms Boutique Stay, Jodhpur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_718ca04a,htl_16ca75ac,,lobby,media/hotels/htl_16ca75ac/lobby.jpg,"Lobby view at Garden Palms Boutique Stay, Jodhpur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_340025ca,htl_16ca75ac,rmt_68485f3b,room,media/hotels/htl_16ca75ac/room.jpg,"Room view at Garden Palms Boutique Stay, Jodhpur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_66a0fc4e,htl_16ca75ac,,dining,media/hotels/htl_16ca75ac/dining.jpg,"Dining view at Garden Palms Boutique Stay, Jodhpur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_5b41a2cd,htl_fe66f74b,,hero,media/hotels/htl_fe66f74b/hero.jpg,"Hero view at Casa Niwas & Spa, Jodhpur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_363b4e09,htl_fe66f74b,,exterior,media/hotels/htl_fe66f74b/exterior.jpg,"Exterior view at Casa Niwas & Spa, Jodhpur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_f0d5a514,htl_fe66f74b,,lobby,media/hotels/htl_fe66f74b/lobby.jpg,"Lobby view at Casa Niwas & Spa, Jodhpur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_4fcbbcfe,htl_fe66f74b,rmt_74cb0474,room,media/hotels/htl_fe66f74b/room.jpg,"Room view at Casa Niwas & Spa, Jodhpur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_50931dfa,htl_fe66f74b,,dining,media/hotels/htl_fe66f74b/dining.jpg,"Dining view at Casa Niwas & Spa, Jodhpur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_8034c94a,htl_d149da7c,,hero,media/hotels/htl_d149da7c/hero.jpg,"Hero view at Hillview Niwas Resort, Jodhpur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_64e37f1e,htl_d149da7c,,exterior,media/hotels/htl_d149da7c/exterior.jpg,"Exterior view at Hillview Niwas Resort, Jodhpur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_5dfdb13a,htl_d149da7c,,lobby,media/hotels/htl_d149da7c/lobby.jpg,"Lobby view at Hillview Niwas Resort, Jodhpur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_c81dbc6b,htl_d149da7c,rmt_65be3cc2,room,media/hotels/htl_d149da7c/room.jpg,"Room view at Hillview Niwas Resort, Jodhpur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_a3de9f73,htl_d149da7c,,dining,media/hotels/htl_d149da7c/dining.jpg,"Dining view at Hillview Niwas Resort, Jodhpur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_f4de0c46,htl_8ceae759,,hero,media/hotels/htl_8ceae759/hero.jpg,"Hero view at Royal Nest & Spa, Jodhpur",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_c4c35a27,htl_8ceae759,,exterior,media/hotels/htl_8ceae759/exterior.jpg,"Exterior view at Royal Nest & Spa, Jodhpur",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_326ec2b9,htl_8ceae759,,lobby,media/hotels/htl_8ceae759/lobby.jpg,"Lobby view at Royal Nest & Spa, Jodhpur",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_62cdbfd0,htl_8ceae759,rmt_e995c07b,room,media/hotels/htl_8ceae759/room.jpg,"Room view at Royal Nest & Spa, Jodhpur",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_f1403c18,htl_8ceae759,,dining,media/hotels/htl_8ceae759/dining.jpg,"Dining view at Royal Nest & Spa, Jodhpur",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_af93a45f,htl_97daa761,,hero,media/hotels/htl_97daa761/hero.jpg,"Hero view at Indigo Verandah Homestay, Jaisalmer",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_493c743a,htl_97daa761,,exterior,media/hotels/htl_97daa761/exterior.jpg,"Exterior view at Indigo Verandah Homestay, Jaisalmer",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_c0213070,htl_97daa761,,lobby,media/hotels/htl_97daa761/lobby.jpg,"Lobby view at Indigo Verandah Homestay, Jaisalmer",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_21a81e0f,htl_97daa761,rmt_4806123d,room,media/hotels/htl_97daa761/room.jpg,"Room view at Indigo Verandah Homestay, Jaisalmer",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_4e97979d,htl_97daa761,,dining,media/hotels/htl_97daa761/dining.jpg,"Dining view at Indigo Verandah Homestay, Jaisalmer",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_4bcd9330,htl_ca3e3a74,,hero,media/hotels/htl_ca3e3a74/hero.jpg,"Hero view at Hillview Nest Inn, Jaisalmer",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_9729d473,htl_ca3e3a74,,exterior,media/hotels/htl_ca3e3a74/exterior.jpg,"Exterior view at Hillview Nest Inn, Jaisalmer",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_04519fdf,htl_ca3e3a74,,lobby,media/hotels/htl_ca3e3a74/lobby.jpg,"Lobby view at Hillview Nest Inn, Jaisalmer",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_c7ae359e,htl_ca3e3a74,rmt_0fc40170,room,media/hotels/htl_ca3e3a74/room.jpg,"Room view at Hillview Nest Inn, Jaisalmer",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_12f4a55d,htl_ca3e3a74,,dining,media/hotels/htl_ca3e3a74/dining.jpg,"Dining view at Hillview Nest Inn, Jaisalmer",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_b74e4bb7,htl_b4eb0f44,,hero,media/hotels/htl_b4eb0f44/hero.jpg,"Hero view at Indigo Ghat House Boutique Stay, Jaisalmer",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_6c5e028b,htl_b4eb0f44,,exterior,media/hotels/htl_b4eb0f44/exterior.jpg,"Exterior view at Indigo Ghat House Boutique Stay, Jaisalmer",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_08905a6a,htl_b4eb0f44,,lobby,media/hotels/htl_b4eb0f44/lobby.jpg,"Lobby view at Indigo Ghat House Boutique Stay, Jaisalmer",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_bc5dbf1c,htl_b4eb0f44,rmt_79b9dffc,room,media/hotels/htl_b4eb0f44/room.jpg,"Room view at Indigo Ghat House Boutique Stay, Jaisalmer",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_ef342b29,htl_b4eb0f44,,dining,media/hotels/htl_b4eb0f44/dining.jpg,"Dining view at Indigo Ghat House Boutique Stay, Jaisalmer",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_467839d6,htl_832544af,,hero,media/hotels/htl_832544af/hero.jpg,"Hero view at Royal Terraces & Spa, Jaisalmer",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_bbfe16e7,htl_832544af,,exterior,media/hotels/htl_832544af/exterior.jpg,"Exterior view at Royal Terraces & Spa, Jaisalmer",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_456d3178,htl_832544af,,lobby,media/hotels/htl_832544af/lobby.jpg,"Lobby view at Royal Terraces & Spa, Jaisalmer",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_604f5567,htl_832544af,rmt_f62c2e52,room,media/hotels/htl_832544af/room.jpg,"Room view at Royal Terraces & Spa, Jaisalmer",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_d68a5da8,htl_832544af,,dining,media/hotels/htl_832544af/dining.jpg,"Dining view at Royal Terraces & Spa, Jaisalmer",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_f4250708,htl_68af15a1,,hero,media/hotels/htl_68af15a1/hero.jpg,"Hero view at Amber Mahal Inn, Jaisalmer",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_eafb6ca3,htl_68af15a1,,exterior,media/hotels/htl_68af15a1/exterior.jpg,"Exterior view at Amber Mahal Inn, Jaisalmer",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_6f11d01a,htl_68af15a1,,lobby,media/hotels/htl_68af15a1/lobby.jpg,"Lobby view at Amber Mahal Inn, Jaisalmer",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_d92a5710,htl_68af15a1,rmt_0d437b01,room,media/hotels/htl_68af15a1/room.jpg,"Room view at Amber Mahal Inn, Jaisalmer",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_964d6512,htl_68af15a1,,dining,media/hotels/htl_68af15a1/dining.jpg,"Dining view at Amber Mahal Inn, Jaisalmer",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_d6186af5,htl_f89975f1,,hero,media/hotels/htl_f89975f1/hero.jpg,"Hero view at Palm Palms Homestay, Agra",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_7b0b1471,htl_f89975f1,,exterior,media/hotels/htl_f89975f1/exterior.jpg,"Exterior view at Palm Palms Homestay, Agra",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_03e082e8,htl_f89975f1,,lobby,media/hotels/htl_f89975f1/lobby.jpg,"Lobby view at Palm Palms Homestay, Agra",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_6ab86195,htl_f89975f1,rmt_26f79673,room,media/hotels/htl_f89975f1/room.jpg,"Room view at Palm Palms Homestay, Agra",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_9ab37beb,htl_f89975f1,,dining,media/hotels/htl_f89975f1/dining.jpg,"Dining view at Palm Palms Homestay, Agra",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_1fde1e16,htl_3f98054b,,hero,media/hotels/htl_3f98054b/hero.jpg,"Hero view at Amber Retreat Homestay, Agra",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_fad5a37d,htl_3f98054b,,exterior,media/hotels/htl_3f98054b/exterior.jpg,"Exterior view at Amber Retreat Homestay, Agra",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_1ab8107f,htl_3f98054b,,lobby,media/hotels/htl_3f98054b/lobby.jpg,"Lobby view at Amber Retreat Homestay, Agra",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_dc6b78ae,htl_3f98054b,rmt_97174185,room,media/hotels/htl_3f98054b/room.jpg,"Room view at Amber Retreat Homestay, Agra",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_181c0935,htl_3f98054b,,dining,media/hotels/htl_3f98054b/dining.jpg,"Dining view at Amber Retreat Homestay, Agra",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_df45825b,htl_437c0b59,,hero,media/hotels/htl_437c0b59/hero.jpg,"Hero view at Royal Terraces Suites, Agra",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_f9cff788,htl_437c0b59,,exterior,media/hotels/htl_437c0b59/exterior.jpg,"Exterior view at Royal Terraces Suites, Agra",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_be993036,htl_437c0b59,,lobby,media/hotels/htl_437c0b59/lobby.jpg,"Lobby view at Royal Terraces Suites, Agra",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_79edd847,htl_437c0b59,rmt_c7feb9b7,room,media/hotels/htl_437c0b59/room.jpg,"Room view at Royal Terraces Suites, Agra",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_666d2739,htl_437c0b59,,dining,media/hotels/htl_437c0b59/dining.jpg,"Dining view at Royal Terraces Suites, Agra",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_a04bf100,htl_abcdbceb,,hero,media/hotels/htl_abcdbceb/hero.jpg,"Hero view at Hillview Bagh Suites, Agra",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_307170c7,htl_abcdbceb,,exterior,media/hotels/htl_abcdbceb/exterior.jpg,"Exterior view at Hillview Bagh Suites, Agra",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_a6be09c9,htl_abcdbceb,,lobby,media/hotels/htl_abcdbceb/lobby.jpg,"Lobby view at Hillview Bagh Suites, Agra",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_93217784,htl_abcdbceb,rmt_2db0c6c3,room,media/hotels/htl_abcdbceb/room.jpg,"Room view at Hillview Bagh Suites, Agra",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_1accf603,htl_abcdbceb,,dining,media/hotels/htl_abcdbceb/dining.jpg,"Dining view at Hillview Bagh Suites, Agra",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_5ca04a7c,htl_d1c721fa,,hero,media/hotels/htl_d1c721fa/hero.jpg,"Hero view at Lake Palms Inn, Agra",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_3c8d2b91,htl_d1c721fa,,exterior,media/hotels/htl_d1c721fa/exterior.jpg,"Exterior view at Lake Palms Inn, Agra",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_8d1b72fd,htl_d1c721fa,,lobby,media/hotels/htl_d1c721fa/lobby.jpg,"Lobby view at Lake Palms Inn, Agra",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_932875fe,htl_d1c721fa,rmt_605d2d42,room,media/hotels/htl_d1c721fa/room.jpg,"Room view at Lake Palms Inn, Agra",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_10c52427,htl_d1c721fa,,dining,media/hotels/htl_d1c721fa/dining.jpg,"Dining view at Lake Palms Inn, Agra",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_8abb4b0c,htl_af9267ba,,hero,media/hotels/htl_af9267ba/hero.jpg,"Hero view at The Haveli Inn, Varanasi",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_5a0c797e,htl_af9267ba,,exterior,media/hotels/htl_af9267ba/exterior.jpg,"Exterior view at The Haveli Inn, Varanasi",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_fab41490,htl_af9267ba,,lobby,media/hotels/htl_af9267ba/lobby.jpg,"Lobby view at The Haveli Inn, Varanasi",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_2a2d825f,htl_af9267ba,rmt_f63f6226,room,media/hotels/htl_af9267ba/room.jpg,"Room view at The Haveli Inn, Varanasi",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_6dfdea99,htl_af9267ba,,dining,media/hotels/htl_af9267ba/dining.jpg,"Dining view at The Haveli Inn, Varanasi",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_ba7e3353,htl_9c129ce4,,hero,media/hotels/htl_9c129ce4/hero.jpg,"Hero view at Royal Sanctuary Suites, Varanasi",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_596f811a,htl_9c129ce4,,exterior,media/hotels/htl_9c129ce4/exterior.jpg,"Exterior view at Royal Sanctuary Suites, Varanasi",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_3b6af581,htl_9c129ce4,,lobby,media/hotels/htl_9c129ce4/lobby.jpg,"Lobby view at Royal Sanctuary Suites, Varanasi",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_d55ef721,htl_9c129ce4,rmt_2b67c1df,room,media/hotels/htl_9c129ce4/room.jpg,"Room view at Royal Sanctuary Suites, Varanasi",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_ee21f506,htl_9c129ce4,,dining,media/hotels/htl_9c129ce4/dining.jpg,"Dining view at Royal Sanctuary Suites, Varanasi",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_500edd1b,htl_d1d22033,,hero,media/hotels/htl_d1d22033/hero.jpg,"Hero view at Amber Orchard Suites, Varanasi",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_b7aceecb,htl_d1d22033,,exterior,media/hotels/htl_d1d22033/exterior.jpg,"Exterior view at Amber Orchard Suites, Varanasi",1600,1067,1,2026-08-18T10:00:00+05:30
hmd_27712534,htl_d1d22033,,lobby,media/hotels/htl_d1d22033/lobby.jpg,"Lobby view at Amber Orchard Suites, Varanasi",1600,1067,2,2026-08-18T10:00:00+05:30
hmd_30b6b1ec,htl_d1d22033,rmt_9947d92b,room,media/hotels/htl_d1d22033/room.jpg,"Room view at Amber Orchard Suites, Varanasi",1600,1067,3,2026-08-18T10:00:00+05:30
hmd_3934cf37,htl_d1d22033,,dining,media/hotels/htl_d1d22033/dining.jpg,"Dining view at Amber Orchard Suites, Varanasi",1600,1067,4,2026-08-18T10:00:00+05:30
hmd_5c01055d,htl_1b0f8353,,hero,media/hotels/htl_1b0f8353/hero.jpg,"Hero view at Indigo Meadows Boutique Stay, Varanasi",1600,1067,0,2026-08-18T10:00:00+05:30
hmd_ca2c9e76,htl_1b0f8353,,exterior,media/hotels/htl_1b0f8353/exterior.jpg,"Exterior view at Indigo Meadows Boutique Stay, Varanasi",1600,1067,1,2026-08-18T10:00:00+05:30
