room_type_id,hotel_id,name,max_occupancy,max_adults,max_children,bed_config,size_sqm,base_rate,currency,total_units,smoking_allowed,status,updated_at
rmt_1664a3ef,htl_97daa761,Heritage Room,2,2,0,king,34,3789.21,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_9a44634e,htl_97daa761,Premier Suite,4,3,2,king,48,4736.51,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_4b888cdb,htl_97daa761,Executive,2,2,0,twin,23,6062.73,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_4806123d,htl_97daa761,Family Room,4,3,2,twin,55,8336.25,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_a499242d,htl_ca3e3a74,Executive,2,2,0,king,52,6468.95,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_df2d2be7,htl_ca3e3a74,Premier Suite,4,3,2,twin_double,35,8086.18,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_0fc40170,htl_ca3e3a74,Deluxe,2,2,0,single,25,10350.31,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_ea1bc834,htl_ca3e3a74,Twin Economy,2,2,0,bunk,60,14231.68,INR,19,1,active,2026-08-18T10:00:00+05:30
rmt_f8b487b4,htl_b4eb0f44,Premier Suite,4,3,2,single,60,3255.52,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_6cc18233,htl_b4eb0f44,Deluxe Garden View,3,3,1,king,41,4069.40,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_79b9dffc,htl_b4eb0f44,Twin Economy,2,2,0,double,32,5208.83,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_f6cc532b,htl_b4eb0f44,Deluxe,2,2,0,bunk,47,7162.14,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_fdc08ffa,htl_832544af,Premier Suite,4,3,2,twin,,5743.91,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_ba37d6d6,htl_832544af,Heritage Room,2,2,0,bunk,55,7179.89,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_abf76879,htl_832544af,Standard,2,2,0,single,52,9190.26,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_f62c2e52,htl_832544af,Deluxe,2,2,0,twin,38,12636.61,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_8e329c08,htl_68af15a1,Executive,2,2,0,twin_double,26,1676.38,INR,7,1,active,2026-08-18T10:00:00+05:30
rmt_0d437b01,htl_68af15a1,Heritage Room,2,2,0,queen,19,2095.47,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_d98cf881,htl_68af15a1,Deluxe Garden View,3,3,1,twin,32,2682.20,INR,8,0,active,2026-08-18T10:00:00+05:30
rmt_28b68b92,htl_68af15a1,Deluxe,2,2,0,double,22,3688.03,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_26f79673,htl_f89975f1,Premier Suite,4,3,2,bunk,40,7734.15,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_88ce3091,htl_f89975f1,Deluxe,2,2,0,queen,26,9667.69,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_f11f8933,htl_f89975f1,Deluxe Garden View,3,3,1,single,26,12374.65,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_7da49a3b,htl_f89975f1,Standard,2,2,0,double,44,17015.14,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_55c522a8,htl_3f98054b,Heritage Room,2,2,0,twin,57,3980.64,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_b3a2ad07,htl_3f98054b,Deluxe,2,2,0,single,60,4975.80,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_5ad272e6,htl_3f98054b,Premier Suite,4,3,2,king,57,6369.03,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_97174185,htl_3f98054b,Deluxe Garden View,3,3,1,king,33,8757.41,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_c7feb9b7,htl_437c0b59,Heritage Room,2,2,0,queen,35,14599.95,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_80d53c61,htl_437c0b59,Premier Suite,4,3,2,bunk,27,18249.94,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_031c6f90,htl_437c0b59,Family Room,4,3,2,double,18,23359.92,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_a9cac23c,htl_437c0b59,Twin Economy,2,2,0,queen,47,32119.89,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_38d11d09,htl_abcdbceb,Deluxe,2,2,0,single,23,5033.39,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_3805cbd2,htl_abcdbceb,Family Room,4,3,2,single,35,1132.51,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_2db0c6c3,htl_abcdbceb,Heritage Room,2,2,0,queen,45,8053.42,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_57ea2198,htl_abcdbceb,Premier Suite,4,3,2,twin,38,11073.46,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_605d2d42,htl_d1c721fa,Family Room,4,3,2,twin_double,21,3730.11,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_e80871dd,htl_d1c721fa,Standard,2,2,0,twin,60,4662.64,INR,8,0,active,2026-08-18T10:00:00+05:30
rmt_4804f8a1,htl_d1c721fa,Deluxe Garden View,3,3,1,king,21,5968.18,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_f1aa536a,htl_d1c721fa,Heritage Room,2,2,0,single,24,8206.25,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_0b8a155f,htl_af9267ba,Heritage Room,2,2,0,bunk,19,5705.18,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_f63f6226,htl_af9267ba,Twin Economy,2,2,0,bunk,17,7131.47,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_1aa74dbb,htl_af9267ba,Premier Suite,4,3,2,single,30,9128.28,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_799621f4,htl_af9267ba,Family Room,4,3,2,twin,24,12551.39,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_8ec9a685,htl_9c129ce4,Heritage Room,2,2,0,queen,47,6035.36,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_c946b4c2,htl_9c129ce4,Premier Suite,4,3,2,king,52,7544.20,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_2b67c1df,htl_9c129ce4,Deluxe,2,2,0,single,44,9656.58,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_afec0845,htl_9c129ce4,Executive,2,2,0,twin,,13277.80,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_ddb7c473,htl_d1d22033,Deluxe,2,2,0,queen,38,3141.42,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_9947d92b,htl_d1d22033,Twin Economy,2,2,0,twin,33,3926.77,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_762d6fb4,htl_d1d22033,Standard,2,2,0,bunk,31,5026.27,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_275eaa9e,htl_d1d22033,Family Room,4,3,2,king,,6911.12,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_3a584d76,htl_1b0f8353,Heritage Room,2,2,0,twin,51,2763.30,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_da45524e,htl_1b0f8353,Premier Suite,4,3,2,double,16,3454.12,INR,23,1,active,2026-08-18T10:00:00+05:30
rmt_a990cc08,htl_1b0f8353,Deluxe,2,2,0,queen,16,4421.28,INR,14,0,active,2026-08-18T10:00:00+05:30
rmt_24f68d46,htl_1b0f8353,Executive,2,2,0,king,36,6079.26,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_d34a3325,htl_d190083e,Premier Suite,4,3,2,twin,42,14156.99,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_06f0a27d,htl_d190083e,Heritage Room,2,2,0,single,22,17696.24,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_869e7f7d,htl_d190083e,Deluxe,2,2,0,twin,17,22651.18,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_6a7df85e,htl_d190083e,Deluxe Garden View,3,3,1,double,25,31145.37,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_188dccb2,htl_3c8db5e1,Heritage Room,2,2,0,bunk,23,6046.71,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_3720831a,htl_3c8db5e1,Twin Economy,2,2,0,queen,43,7558.39,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_4cdda78e,htl_3c8db5e1,Premier Suite,4,3,2,twin,59,9674.74,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_225fff85,htl_3c8db5e1,Family Room,4,3,2,twin_double,59,13302.77,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_088faae1,htl_95e7afb1,Standard,2,2,0,bunk,28,3448.47,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_3f0b8e63,htl_95e7afb1,Family Room,4,3,2,bunk,36,4310.59,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_91b575ba,htl_95e7afb1,Executive,2,2,0,twin,25,5517.55,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_1e240f61,htl_95e7afb1,Deluxe,2,2,0,twin_double,45,7586.63,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_034dffff,htl_f32a6fab,Deluxe,2,2,0,bunk,27,5588.34,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_7f9f494c,htl_f32a6fab,Twin Economy,2,2,0,twin,32,6985.43,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_632cc1f3,htl_f32a6fab,Family Room,4,3,2,single,25,8941.35,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_92601702,htl_f32a6fab,Executive,2,2,0,single,59,12294.35,INR,7,0,active,2026-08-18T10:00:00+05:30
rmt_7cebcac9,htl_edfb03a8,Executive,2,2,0,bunk,59,1911.61,INR,8,1,active,2026-08-18T10:00:00+05:30
rmt_7a6d1768,htl_edfb03a8,Deluxe Garden View,3,3,1,double,44,2389.52,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_58eeb2ee,htl_edfb03a8,Standard,2,2,0,double,43,3058.58,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_bd571c9a,htl_edfb03a8,Heritage Room,2,2,0,twin_double,54,4205.55,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_319a657b,htl_a4d27c8c,Deluxe,2,2,0,single,34,1696.95,INR,21,0,active,2026-08-18T10:00:00+05:30
rmt_fcb045a1,htl_a4d27c8c,Family Room,4,3,2,twin_double,51,2121.19,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_e99927f7,htl_a4d27c8c,Standard,2,2,0,double,39,2715.12,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_4be4b5c2,htl_a4d27c8c,Executive,2,2,0,king,29,3733.29,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_236b4df9,htl_68ea7979,Deluxe,2,2,0,king,22,7435.15,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_616f0ab4,htl_68ea7979,Twin Economy,2,2,0,single,46,9293.93,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_9abeddeb,htl_68ea7979,Premier Suite,4,3,2,single,25,11896.24,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_56416285,htl_68ea7979,Family Room,4,3,2,queen,25,16357.33,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_315d2584,htl_43f3566e,Executive,2,2,0,twin,47,3924.54,INR,2,1,active,2026-08-18T10:00:00+05:30
rmt_5951d936,htl_43f3566e,Deluxe,2,2,0,double,16,4905.68,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_4f1d0d38,htl_43f3566e,Heritage Room,2,2,0,bunk,36,6279.27,INR,25,0,active,2026-08-18T10:00:00+05:30
rmt_9a171b36,htl_43f3566e,Twin Economy,2,2,0,single,44,8634.00,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_c015a465,htl_ace63054,Executive,2,2,0,bunk,24,7734.07,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_3e0f14b7,htl_ace63054,Deluxe,2,2,0,twin_double,41,9667.58,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_4432ea46,htl_ace63054,Twin Economy,2,2,0,queen,32,12374.51,INR,14,0,active,2026-08-18T10:00:00+05:30
rmt_ad2452fd,htl_ace63054,Deluxe Garden View,3,3,1,twin,50,17014.95,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_0b8a6b18,htl_40a881e8,Deluxe Garden View,3,3,1,double,22,2585.17,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_44d57f99,htl_40a881e8,Standard,2,2,0,twin_double,18,3231.47,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_67bc39b7,htl_40a881e8,Deluxe,2,2,0,bunk,32,4136.28,INR,12,0,active,2026-08-18T10:00:00+05:30
rmt_b8fc1bd0,htl_40a881e8,Premier Suite,4,3,2,twin,50,31280.62,INR,8,0,active,2026-08-18T10:00:00+05:30
rmt_f72ec4e5,htl_df6e2340,Executive,2,2,0,double,32,5816.49,INR,20,1,active,2026-08-18T10:00:00+05:30
rmt_b4972b6b,htl_df6e2340,Family Room,4,3,2,twin_double,29,7270.62,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_a2bd4417,htl_df6e2340,Heritage Room,2,2,0,twin_double,54,9306.39,INR,9,0,active,2026-08-18T10:00:00+05:30
rmt_9e3a33aa,htl_df6e2340,Deluxe Garden View,3,3,1,bunk,34,12796.29,INR,8,0,active,2026-08-18T10:00:00+05:30
rmt_3bf92d12,htl_3e3a38c5,Twin Economy,2,2,0,twin,16,11410.55,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_03e3757c,htl_3e3a38c5,Premier Suite,4,3,2,twin,39,14263.18,INR,11,1,active,2026-08-18T10:00:00+05:30
rmt_37928dbf,htl_3e3a38c5,Executive,2,2,0,double,31,100412.81,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_2ecf1620,htl_3e3a38c5,Deluxe Garden View,3,3,1,twin_double,,25103.20,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_090d2307,htl_d07e29f4,Deluxe Garden View,3,3,1,queen,21,11063.74,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_f41a96ee,htl_d07e29f4,Family Room,4,3,2,twin_double,,13829.68,INR,9,0,active,2026-08-18T10:00:00+05:30
rmt_ce0551dd,htl_d07e29f4,Standard,2,2,0,double,43,17701.99,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_a8f140d8,htl_d07e29f4,Twin Economy,2,2,0,queen,48,24340.24,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_54db1870,htl_fb894fd0,Deluxe,2,2,0,bunk,43,2220.53,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_9145d827,htl_fb894fd0,Standard,2,2,0,bunk,51,2775.66,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_76f62025,htl_fb894fd0,Deluxe Garden View,3,3,1,double,42,3552.85,INR,11,0,active,2026-08-18T10:00:00+05:30
rmt_f09dd267,htl_fb894fd0,Executive,2,2,0,bunk,29,4885.17,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_465c592e,htl_7b47fb46,Twin Economy,2,2,0,bunk,37,6742.57,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_f7c68cca,htl_7b47fb46,Standard,2,2,0,twin_double,44,8428.22,INR,13,1,active,2026-08-18T10:00:00+05:30
rmt_23e56fd9,htl_7b47fb46,Heritage Room,2,2,0,twin,42,10788.12,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_61db34ed,htl_7b47fb46,Family Room,4,3,2,double,,14833.66,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_f5a6d0c3,htl_34abcc09,Heritage Room,2,2,0,king,61,3965.40,INR,19,0,active,2026-08-18T10:00:00+05:30
rmt_f782afc8,htl_34abcc09,Twin Economy,2,2,0,queen,16,4956.76,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_1805b104,htl_34abcc09,Deluxe,2,2,0,double,,6344.65,INR,10,0,active,2026-08-18T10:00:00+05:30
rmt_81e245d4,htl_34abcc09,Family Room,4,3,2,single,38,8723.89,INR,14,0,active,2026-08-18T10:00:00+05:30
rmt_afbf54c3,htl_2ca76c96,Twin Economy,2,2,0,bunk,30,3951.97,INR,22,1,active,2026-08-18T10:00:00+05:30
rmt_5868aefd,htl_2ca76c96,Deluxe,2,2,0,bunk,,4939.96,INR,3,0,active,2026-08-18T10:00:00+05:30
rmt_64346e8a,htl_2ca76c96,Executive,2,2,0,twin_double,27,6323.15,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_aacaeea2,htl_2ca76c96,Family Room,4,3,2,king,48,8694.33,INR,6,0,active,2026-08-18T10:00:00+05:30
rmt_a79553dd,htl_d9b34d26,Premier Suite,4,3,2,twin_double,22,7048.62,INR,13,0,active,2026-08-18T10:00:00+05:30
rmt_2a598ebb,htl_d9b34d26,Deluxe,2,2,0,double,38,8810.78,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_9273b587,htl_d9b34d26,Heritage Room,2,2,0,double,46,11277.80,INR,24,0,active,2026-08-18T10:00:00+05:30
rmt_a4546207,htl_d9b34d26,Deluxe Garden View,3,3,1,double,58,15506.97,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_3334f1db,htl_b868ebcf,Family Room,4,3,2,twin_double,35,14300.79,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_e56009dd,htl_b868ebcf,Standard,2,2,0,double,,3250.18,INR,24,1,active,2026-08-18T10:00:00+05:30
rmt_9e7cce83,htl_b868ebcf,Deluxe,2,2,0,bunk,55,4160.23,INR,2,0,active,2026-08-18T10:00:00+05:30
rmt_aca68442,htl_b868ebcf,Executive,2,2,0,double,34,5720.32,INR,23,0,active,2026-08-18T10:00:00+05:30
rmt_2de3c592,htl_4e4752d8,Heritage Room,2,2,0,double,18,14081.74,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_ff826355,htl_4e4752d8,Deluxe,2,2,0,king,61,17602.17,INR,20,1,active,2026-08-18T10:00:00+05:30
rmt_0c4e074c,htl_4e4752d8,Premier Suite,4,3,2,twin,40,22530.78,INR,15,0,active,2026-08-18T10:00:00+05:30
rmt_5a97e8a0,htl_4e4752d8,Executive,2,2,0,single,31,30979.82,INR,16,0,active,2026-08-18T10:00:00+05:30
rmt_3b3f28a1,htl_9e900d70,Twin Economy,2,2,0,bunk,23,2608.41,INR,4,0,active,2026-08-18T10:00:00+05:30
rmt_201a160d,htl_9e900d70,Executive,2,2,0,double,50,3260.51,INR,18,0,active,2026-08-18T10:00:00+05:30
rmt_e539203f,htl_9e900d70,Deluxe,2,2,0,twin,31,4173.46,INR,9,0,active,2026-08-18T10:00:00+05:30
rmt_fc43c21f,htl_9e900d70,Family Room,4,3,2,twin_double,29,5738.50,INR,17,0,active,2026-08-18T10:00:00+05:30
rmt_e11b20fc,htl_64b0b167,Premier Suite,4,3,2,twin,20,10649.44,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_419d3a58,htl_64b0b167,Family Room,4,3,2,queen,54,13311.80,INR,20,0,active,2026-08-18T10:00:00+05:30
rmt_b9868e2d,htl_64b0b167,Standard,2,2,0,twin,34,17039.11,INR,21,0,active,2026-08-18T10:00:00+05:30
